ID_unique,POINT_X,POINT_Y,LandPrice,Available Grid intake(Feed-in)(MW),Grid_supply,Possible Location feed-in to Grid(MW),Actual required at location(MW),Congestion(MW),Feed_in_congestion(MW),Probability
1,159582.4529,384981.8982,186.7854004,109,111,128.9965795,121.8170066,11,20,0.638422072
5,163559.2399,381151.1635,329,190,207,290.6023465,197.6820818,-9,101,0.679629803
6,164033.7894,382510.3417,406.9304504,190,207,290.6023465,197.6820818,-9,101,0.561313212
11,160080.1983,384033.9837,421.0923157,109,111,128.9965795,121.8170066,11,20,0.680800319
12,159664.359,384622.0184,266.7861938,109,111,128.9965795,121.8170066,11,20,0.600970328
18,162758.657,387929.8815,310.9631653,190,207,290.6023465,197.6820818,-9,101,0.552318931
20,161308.2902,381686.317,792.8199463,190,207,290.6023465,197.6820818,-9,101,0.670578241
23,160427.5401,383787.5184,387.6450806,64,77,137.9110689,110.1706551,33,74,0.746935725
28,157026.6908,383118.3805,389.019989,64,77,137.9110689,110.1706551,33,74,0.502940655
30,163603.6352,383195.3422,289.643158,190,207,290.6023465,197.6820818,-9,101,0.727056742
33,161751.7677,385593.9844,263.9170837,190,207,290.6023465,197.6820818,-9,101,0.680577934
36,159403.5542,381490.7612,280.8399963,64,77,137.9110689,110.1706551,33,74,0.60365057
38,158150.7359,381305.0722,640.7399902,64,77,137.9110689,110.1706551,33,74,0.616534829
39,161594.6042,381634.9063,481.8489075,190,207,290.6023465,197.6820818,-9,101,0.688076973
43,159733.7683,382068.874,240.4869232,64,77,137.9110689,110.1706551,33,74,0.561973333
44,158653.9243,382778.9636,399.1298523,64,77,137.9110689,110.1706551,33,74,0.506371617
48,163699.9264,383641.215,281.53125,190,207,290.6023465,197.6820818,-9,101,0.664977074
51,159405.6081,384828.1937,359.1628113,109,111,128.9965795,121.8170066,11,20,0.587910414
55,163225.3836,383319.8454,251.4498901,190,207,290.6023465,197.6820818,-9,101,0.789447486
59,162938.3608,383089.1632,309.8599548,190,207,290.6023465,197.6820818,-9,101,0.809036195
68,162404.2603,385567.6019,364.2000122,190,207,290.6023465,197.6820818,-9,101,0.542839587
70,158127.57,383303.1093,308.4058533,64,77,137.9110689,110.1706551,33,74,0.560813189
71,161756.253,385422.8974,251.5554199,190,207,290.6023465,197.6820818,-9,101,0.662278652
74,159490.4857,385572.2437,491.5746155,109,111,128.9965795,121.8170066,11,20,0.631769538
84,163525.0317,380946.2241,449.9850159,190,207,290.6023465,197.6820818,-9,101,0.583873153
90,160270.4635,387127.7549,258.9400024,109,111,128.9965795,121.8170066,11,20,0.563315868
92,159622.2696,382804.719,532.7978516,64,77,137.9110689,110.1706551,33,74,0.559633374
93,160014.9704,385829.7981,407.7999878,109,111,128.9965795,121.8170066,11,20,0.668755054
97,157060.2109,383748.6744,817.6289063,64,77,137.9110689,110.1706551,33,74,0.503208876
98,159676.4635,384044.0783,373.0029602,64,77,137.9110689,110.1706551,33,74,0.682189822
103,159403.2866,383382.6183,331.7999878,64,77,137.9110689,110.1706551,33,74,0.677096128
105,159482.3674,381081.0815,290.8999939,64,77,137.9110689,110.1706551,33,74,0.606908441
106,160410.9458,388065.5779,450.3599854,190,207,290.6023465,197.6820818,-9,101,0.51136893
107,160912.1544,382096.9975,560.0999756,64,77,137.9110689,110.1706551,33,74,0.738850951
108,157869.115,380998.9188,263.0502319,64,77,137.9110689,110.1706551,33,74,0.525001705
112,159775.0052,387548.9386,391.3839111,109,111,128.9965795,121.8170066,11,20,0.521671593
118,160475.3305,382364.2921,281.1400146,64,77,137.9110689,110.1706551,33,74,0.740398288
119,160604.3435,382853.8009,451.2947693,64,77,137.9110689,110.1706551,33,74,0.858654678
121,158828.5482,385059.3063,856.2002563,109,111,128.9965795,121.8170066,11,20,0.55750668
124,163105.6967,382928.4199,336.5397034,190,207,290.6023465,197.6820818,-9,101,0.761926234
125,160952.1306,386875.2278,304.6843262,109,111,128.9965795,121.8170066,11,20,0.562430918
127,162032.9538,382599.4331,387.6818542,190,207,290.6023465,197.6820818,-9,101,0.762962997
128,159841.0249,385376.1402,306.9666138,109,111,128.9965795,121.8170066,11,20,0.744187593
130,159312.2133,383769.9627,334.5487061,64,77,137.9110689,110.1706551,33,74,0.635733366
131,158321.2085,383072.4117,400.0235291,64,77,137.9110689,110.1706551,33,74,0.554681718
136,159849.4765,381785.1087,234.1065674,64,77,137.9110689,110.1706551,33,74,0.638946712
137,161596.9327,385622.3577,278,190,207,290.6023465,197.6820818,-9,101,0.669743955
139,157973.7371,380940.8995,312.8260803,64,77,137.9110689,110.1706551,33,74,0.543916166
141,160612.7942,382158.8064,378.6730042,64,77,137.9110689,110.1706551,33,74,0.751776159
147,160301.6271,383362.8094,374.1480103,64,77,137.9110689,110.1706551,33,74,0.793126106
150,159412.1603,381304.5453,307.6600037,64,77,137.9110689,110.1706551,33,74,0.616738975
152,158538.9366,381047.2815,346.0757141,64,77,137.9110689,110.1706551,33,74,0.636341751
153,161061.9084,386619.9979,331.9498901,109,111,128.9965795,121.8170066,11,20,0.530540347
157,160395.0559,384487.2325,325.2000122,109,111,128.9965795,121.8170066,11,20,0.726087928
158,159029.7678,384311.9101,337.2799988,64,77,137.9110689,110.1706551,33,74,0.574379027
159,160344.5973,385032.8226,362.0145569,109,111,128.9965795,121.8170066,11,20,0.760852516
160,160743.4419,381554.4906,473.6262512,190,207,290.6023465,197.6820818,-9,101,0.649469852
162,161373.7638,385360.6353,253.1761017,190,207,290.6023465,197.6820818,-9,101,0.597350359
163,159151.1203,384175.828,289.4707947,64,77,137.9110689,110.1706551,33,74,0.589216888
164,161823.0524,383526.5095,434.5619202,190,207,290.6023465,197.6820818,-9,101,0.596278131
174,162047.928,381361.057,403.9657288,190,207,290.6023465,197.6820818,-9,101,0.686323941
175,162273.8849,383660.0751,1358.687012,190,207,290.6023465,197.6820818,-9,101,0.649054945
177,160031.359,387133.2743,223.0939026,109,111,128.9965795,121.8170066,11,20,0.517220378
184,159207.7982,383387.9401,340.6362305,64,77,137.9110689,110.1706551,33,74,0.668858588
187,162742.8455,382009.5587,382.9451599,190,207,290.6023465,197.6820818,-9,101,0.773461819
188,158280.1816,381622.4041,428.4049988,64,77,137.9110689,110.1706551,33,74,0.582799077
189,157555.386,383941.5258,443.1199036,109,111,128.9965795,121.8170066,11,20,0.521654844
193,160669.8683,383437.3286,361.7897034,64,77,137.9110689,110.1706551,33,74,0.805920541
196,164051.7099,384479.54,294.934845,190,207,290.6023465,197.6820818,-9,101,0.513618231
197,159860.185,383205.4892,371.2799988,64,77,137.9110689,110.1706551,33,74,0.766423762
198,163798.692,384289.7064,510.7843018,190,207,290.6023465,197.6820818,-9,101,0.561095655
199,161409.0996,385471.4101,245.3084717,190,207,290.6023465,197.6820818,-9,101,0.658060789
201,163004.5235,382013.5025,293.1000061,190,207,290.6023465,197.6820818,-9,101,0.775908411
203,161802.2425,382147.1999,532.1730957,190,207,290.6023465,197.6820818,-9,101,0.798101842
204,162157.7947,381990.5792,352.2501526,190,207,290.6023465,197.6820818,-9,101,0.821414411
206,160087.4066,381851.0016,385.9226685,64,77,137.9110689,110.1706551,33,74,0.674157381
211,163498.8244,381350.7959,321.4292908,190,207,290.6023465,197.6820818,-9,101,0.759471059
216,162573.8756,382680.7433,512.6994629,190,207,290.6023465,197.6820818,-9,101,0.710594773
219,162190.18,387007.7711,292.1773376,190,207,290.6023465,197.6820818,-9,101,0.525001347
222,160674.9343,383272.1975,248.7089081,64,77,137.9110689,110.1706551,33,74,0.81531018
224,161432.9237,387621.8297,333,190,207,290.6023465,197.6820818,-9,101,0.560102046
226,162292.5129,382025.6912,346.3129883,190,207,290.6023465,197.6820818,-9,101,0.80283916
227,157748.8412,383645.2492,330.0177307,64,77,137.9110689,110.1706551,33,74,0.58358711
232,161501.1685,386148.8273,325.4165955,190,207,290.6023465,197.6820818,-9,101,0.540358007
237,162158.4179,383779.6283,776.6210327,190,207,290.6023465,197.6820818,-9,101,0.578584313
239,159222.2693,381596.6592,253.8051758,64,77,137.9110689,110.1706551,33,74,0.5877105
241,158053.4074,381011.9572,262.1062622,64,77,137.9110689,110.1706551,33,74,0.566416621
242,159907.7666,383853.356,352.8492432,64,77,137.9110689,110.1706551,33,74,0.673763871
243,160047.9602,382582.8862,343.8714905,64,77,137.9110689,110.1706551,33,74,0.716083765
246,160753.9365,387109.5021,322.9061279,109,111,128.9965795,121.8170066,11,20,0.555562377
254,163544.6391,383520.3523,283.9869995,190,207,290.6023465,197.6820818,-9,101,0.69268167
255,158200.2413,383601.3999,304.6000061,64,77,137.9110689,110.1706551,33,74,0.559526265
262,161181.125,383991.635,321.2835083,190,207,290.6023465,197.6820818,-9,101,0.65782994
272,160481.0928,382062.5052,253.8020325,64,77,137.9110689,110.1706551,33,74,0.702359438
274,161540.3074,384184.4795,366.2505188,190,207,290.6023465,197.6820818,-9,101,0.529588342
275,159764.3982,380937.2976,285.9724121,64,77,137.9110689,110.1706551,33,74,0.553045809
277,160640.4605,383949.0518,340,109,111,128.9965795,121.8170066,11,20,0.758514881
280,158751.9363,382871.2554,378.5157776,64,77,137.9110689,110.1706551,33,74,0.549620152
282,157037.3733,383602.7277,617.9082031,64,77,137.9110689,110.1706551,33,74,0.53098011
283,159558.3735,384474.0945,321.4851379,64,77,137.9110689,110.1706551,33,74,0.610262573
285,162442.9794,385286.3151,394.6287842,190,207,290.6023465,197.6820818,-9,101,0.501990676
286,157498.1953,383747.7338,484.3323059,64,77,137.9110689,110.1706551,33,74,0.552196145
289,158719.5059,384355.5909,422.8103638,64,77,137.9110689,110.1706551,33,74,0.514380634
291,156973.7508,383392.1167,366.7200012,64,77,137.9110689,110.1706551,33,74,0.541352272
292,161659.9169,381553.7779,583.34729,190,207,290.6023465,197.6820818,-9,101,0.650949597
293,158034.5183,383661.1724,313.0400085,64,77,137.9110689,110.1706551,33,74,0.586410761
295,161867.2708,382592.7026,291.1600037,190,207,290.6023465,197.6820818,-9,101,0.755645275
297,161634.4119,382876.3204,782.432373,109,111,128.9965795,121.8170066,11,20,0.671236455
305,163946.9826,382593.1323,362.1004944,190,207,290.6023465,197.6820818,-9,101,0.595636487
306,160312.4917,386767.5683,382.3800049,109,111,128.9965795,121.8170066,11,20,0.581673503
314,159261.1165,381000.8443,337.4968567,64,77,137.9110689,110.1706551,33,74,0.575361431
317,159738.6762,382808.8906,625.5339355,64,77,137.9110689,110.1706551,33,74,0.593615115
318,163275.2502,382803.8538,333.0479431,190,207,290.6023465,197.6820818,-9,101,0.746020317
320,164099.4247,382992.2593,271.1599121,190,207,290.6023465,197.6820818,-9,101,0.539974511
322,162117.0527,381196.9727,412.5,190,207,290.6023465,197.6820818,-9,101,0.644939542
323,158438.2565,383071.382,395.6210938,64,77,137.9110689,110.1706551,33,74,0.571102798
324,163330.9921,383260.1063,338.4944458,190,207,290.6023465,197.6820818,-9,101,0.771195054
325,160423.0076,387802.3017,278.3008423,190,207,290.6023465,197.6820818,-9,101,0.510029376
327,163779.5831,381404.2488,589.1199951,190,207,290.6023465,197.6820818,-9,101,0.619293988
330,160694.8797,386708.6373,301.8999939,109,111,128.9965795,121.8170066,11,20,0.575919807
336,159520.6984,381297.2707,360.1938171,64,77,137.9110689,110.1706551,33,74,0.638318121
344,163254.7352,380940.9581,720.3057861,190,207,290.6023465,197.6820818,-9,101,0.685156524
348,157845.4054,383304.466,363.0946045,64,77,137.9110689,110.1706551,33,74,0.5426085
349,161533.5285,387674.96,329.3635864,190,207,290.6023465,197.6820818,-9,101,0.562488139
350,163738.7813,381153.9152,510.8909912,190,207,290.6023465,197.6820818,-9,101,0.605622113
351,159642.5725,384260.533,269.0359802,109,111,128.9965795,121.8170066,11,20,0.634406686
356,162739.9118,387620.4526,317.4400024,190,207,290.6023465,197.6820818,-9,101,0.574524224
365,158897.3457,381681.6787,419.75,64,77,137.9110689,110.1706551,33,74,0.569860578
366,160995.9326,385525.938,273.802887,109,111,128.9965795,121.8170066,11,20,0.681825817
369,160000.9428,383590.6589,395.7600098,64,77,137.9110689,110.1706551,33,74,0.722055972
370,160221.4086,388282.8673,477.519989,190,207,290.6023465,197.6820818,-9,101,0.501246452
374,164104.8784,383798.2528,330.1923828,190,207,290.6023465,197.6820818,-9,101,0.558990896
376,159145.9528,384368.9339,327.8600464,64,77,137.9110689,110.1706551,33,74,0.601647317
379,161546.016,383719.4475,351.6114807,0,0,0,0,0,0,0.581028998
381,158202.9763,381061.0691,282.4928589,64,77,137.9110689,110.1706551,33,74,0.62567693
387,160556.4555,381433.8981,269.5598755,64,77,137.9110689,110.1706551,33,74,0.643234909
390,163732.1471,382953.6606,232.2144318,190,207,290.6023465,197.6820818,-9,101,0.691496849
391,159078.8294,384079.4446,356.6193542,64,77,137.9110689,110.1706551,33,74,0.552717507
393,158869.113,385153.1663,830.2744141,109,111,128.9965795,121.8170066,11,20,0.529693961
394,157589.5783,383429.3786,380.7124634,64,77,137.9110689,110.1706551,33,74,0.563825846
396,159041.4861,384731.9062,553.8005981,109,111,128.9965795,121.8170066,11,20,0.583934367
397,162216.6867,387481.978,303.0401306,190,207,290.6023465,197.6820818,-9,101,0.664029121
399,161134.1838,382741.4913,427.9766235,64,77,137.9110689,110.1706551,33,74,0.793767571
402,162881.2574,380908.6433,403.9400024,190,207,290.6023465,197.6820818,-9,101,0.675876617
404,161995.9993,387896.988,432.7503052,190,207,290.6023465,197.6820818,-9,101,0.57100606
405,162885.0269,384032.8927,529.02771,190,207,290.6023465,197.6820818,-9,101,0.597535074
406,160586.8299,386541.6683,378.5237427,109,111,128.9965795,121.8170066,11,20,0.592006743
407,163473.0142,383601.599,330.5944824,190,207,290.6023465,197.6820818,-9,101,0.693693578
408,160016.3796,388084.3668,397.9087219,190,207,290.6023465,197.6820818,-9,101,0.537447035
409,162956.4021,382709.8352,416.1820068,190,207,290.6023465,197.6820818,-9,101,0.739928007
410,159817.3399,384051.1031,423.1481628,109,111,128.9965795,121.8170066,11,20,0.666356266
412,159695.2552,383592.4244,343.7999878,64,77,137.9110689,110.1706551,33,74,0.771720111
415,160312.4814,381902.0501,335.7064514,64,77,137.9110689,110.1706551,33,74,0.666362643
417,163849.3969,381585.6979,783.3723145,190,207,290.6023465,197.6820818,-9,101,0.59134841
418,163456.7,383992.2064,358.1141052,190,207,290.6023465,197.6820818,-9,101,0.654049456
425,161932.2997,385986.4951,266.8001099,190,207,290.6023465,197.6820818,-9,101,0.622195661
438,162666.7662,387434.9461,291.5400085,190,207,290.6023465,197.6820818,-9,101,0.598617494
439,159449.6794,382799.5513,386.4639282,64,77,137.9110689,110.1706551,33,74,0.501001716
441,158881.4682,381215.9317,459.0799866,64,77,137.9110689,110.1706551,33,74,0.62068975
443,163870.8836,383285.3715,271.2000122,190,207,290.6023465,197.6820818,-9,101,0.614077926
445,162821.9069,381789.5001,420.9400024,190,207,290.6023465,197.6820818,-9,101,0.821412444
457,161701.8005,387174.4377,334.4400024,109,111,128.9965795,121.8170066,11,20,0.572611213
466,163292.786,381234.9281,305.186615,190,207,290.6023465,197.6820818,-9,101,0.759685516
469,161115.814,385609.9748,283.1600037,109,111,128.9965795,121.8170066,11,20,0.652218759
470,160702.8332,381450.8306,388.2774963,190,207,290.6023465,197.6820818,-9,101,0.609828413
471,161776.2177,387411.7105,318.8182068,109,111,128.9965795,121.8170066,11,20,0.636870921
473,163974.9078,384355.2659,306.8791199,190,207,290.6023465,197.6820818,-9,101,0.556357384
474,161830.6904,383753.0127,493.7317505,190,207,290.6023465,197.6820818,-9,101,0.535027921
481,162372.1802,383997.868,599.9293213,190,207,290.6023465,197.6820818,-9,101,0.537788749
483,163027.8977,382434.6264,275.1774902,190,207,290.6023465,197.6820818,-9,101,0.730852902
491,158672.2916,380851.3516,370.2124939,64,77,137.9110689,110.1706551,33,74,0.545281649
494,163292.565,382134.1437,291.145752,190,207,290.6023465,197.6820818,-9,101,0.761538863
497,159281.4985,381152.6906,326.2363281,64,77,137.9110689,110.1706551,33,74,0.598912716
498,160437.7829,386705.2667,340.6569214,109,111,128.9965795,121.8170066,11,20,0.592705548
499,164067.5492,383128.399,280.2663879,190,207,290.6023465,197.6820818,-9,101,0.545490026
502,157327.5007,383493.8717,497.9528503,64,77,137.9110689,110.1706551,33,74,0.589943469
506,161187.0788,386745.206,324.9267578,109,111,128.9965795,121.8170066,11,20,0.546279967
510,160320.2182,385972.5333,304.8800049,109,111,128.9965795,121.8170066,11,20,0.651100993
512,158453.1892,381374.431,275.5,64,77,137.9110689,110.1706551,33,74,0.654839337
513,161589.9467,387440.8318,309.4162292,109,111,128.9965795,121.8170066,11,20,0.617444158
514,162776.9972,382799.8311,550.758667,190,207,290.6023465,197.6820818,-9,101,0.715267777
516,157409.7029,383429.18,450.6880493,64,77,137.9110689,110.1706551,33,74,0.580288053
519,162706.2086,387728.497,329.4985657,190,207,290.6023465,197.6820818,-9,101,0.577652633
521,157171.2303,383405.8223,489.8599854,64,77,137.9110689,110.1706551,33,74,0.566476464
522,160893.8076,385265.8414,334.8901672,109,111,128.9965795,121.8170066,11,20,0.682539403
530,160257.8334,385169.5432,314.4456482,109,111,128.9965795,121.8170066,11,20,0.746037066
531,162018.4664,381838.5262,364.8900146,190,207,290.6023465,197.6820818,-9,101,0.816885114
536,160927.0456,385813.4895,280.9932251,109,111,128.9965795,121.8170066,11,20,0.606911004
540,160671.7683,384323.5212,296.5100098,109,111,128.9965795,121.8170066,11,20,0.736913025
542,158581.9465,383465.8154,292.519989,64,77,137.9110689,110.1706551,33,74,0.582584739
543,160092.3235,381697.8019,311.250824,64,77,137.9110689,110.1706551,33,74,0.684816241
548,162700.8311,383225.5091,253.1319733,190,207,290.6023465,197.6820818,-9,101,0.800322711
550,162401.3435,383375.715,490.1000061,190,207,290.6023465,197.6820818,-9,101,0.750102699
551,158544.8253,380892.4847,357.5284424,64,77,137.9110689,110.1706551,33,74,0.579348624
552,160312.1185,382686.2465,308.1219788,64,77,137.9110689,110.1706551,33,74,0.781359375
557,158418.5464,384392.3564,598.0352783,64,77,137.9110689,110.1706551,33,74,0.530902147
559,162442.4073,383855.2854,716.6751099,190,207,290.6023465,197.6820818,-9,101,0.593009472
564,159033.5195,383223.7205,365.0956116,64,77,137.9110689,110.1706551,33,74,0.645109594
567,162837.0329,381026.1145,312.6808167,190,207,290.6023465,197.6820818,-9,101,0.713746071
572,160796.6419,387407.5336,306.2000122,109,111,128.9965795,121.8170066,11,20,0.542638123
574,162903.1714,381196.7462,405.5005188,190,207,290.6023465,197.6820818,-9,101,0.776330292
581,160718.1084,382589.4159,379.2799988,64,77,137.9110689,110.1706551,33,74,0.859584808
583,163123.2857,383679.8007,317.9202576,190,207,290.6023465,197.6820818,-9,101,0.731318533
585,160091.9548,386262.7666,417.7107849,109,111,128.9965795,121.8170066,11,20,0.562634528
587,161428.4366,381160.0688,420.514801,64,77,137.9110689,110.1706551,33,74,0.564939141
600,160658.5293,384703.934,357.2043762,109,111,128.9965795,121.8170066,11,20,0.68267554
605,157798.2195,383447.8983,319.4353943,64,77,137.9110689,110.1706551,33,74,0.543803573
606,161046.6836,384309.9381,319.3143311,109,111,128.9965795,121.8170066,11,20,0.664190114
608,162232.8726,383869.8562,732.5709839,190,207,290.6023465,197.6820818,-9,101,0.569167376
613,158851.4507,384311.009,410.6767578,64,77,137.9110689,110.1706551,33,74,0.521419704
615,162291.408,382230.1482,523.5933228,190,207,290.6023465,197.6820818,-9,101,0.783563733
617,160205.0602,383827.9039,249.5599976,64,77,137.9110689,110.1706551,33,74,0.706606984
620,163364.9272,382303.1804,372.4473572,190,207,290.6023465,197.6820818,-9,101,0.760798275
622,161924.0761,381117.8579,420.1600037,190,207,290.6023465,197.6820818,-9,101,0.597169638
623,161083.5032,387030.7659,393.2000122,190,207,290.6023465,197.6820818,-9,101,0.535612285
624,162568.6406,382047.4732,463.2279663,190,207,290.6023465,197.6820818,-9,101,0.777663469
625,158195.1377,382900.9322,428.4282532,64,77,137.9110689,110.1706551,33,74,0.503722608
634,161367.4601,388072.1089,300.2400818,190,207,290.6023465,197.6820818,-9,101,0.504080594
635,164184.4765,384395.2922,426.3500061,190,207,290.6023465,197.6820818,-9,101,0.518635571
638,157494.0449,383107.2379,429.8425598,64,77,137.9110689,110.1706551,33,74,0.537885129
642,160627.8002,385872.314,247.4253387,109,111,128.9965795,121.8170066,11,20,0.636626542
650,161445.7416,383292.9133,309.275116,109,111,128.9965795,121.8170066,11,20,0.596105278
651,159429.9222,383753.7486,397.7974548,64,77,137.9110689,110.1706551,33,74,0.672114491
652,160163.4761,382208.5351,247.3200073,64,77,137.9110689,110.1706551,33,74,0.674126744
653,160583.1454,381605.8567,313.1862793,64,77,137.9110689,110.1706551,33,74,0.67922616
657,163043.0072,380981.6992,397.1109924,190,207,290.6023465,197.6820818,-9,101,0.732260942
661,161249.8388,382798.5343,448.4466553,64,77,137.9110689,110.1706551,33,74,0.726758122
664,159836.2854,384772.5709,180.6962891,109,111,128.9965795,121.8170066,11,20,0.667959511
667,158013.9788,381306.2595,443.6395569,64,77,137.9110689,110.1706551,33,74,0.577666998
673,160399.1929,381512.0445,362.6000061,64,77,137.9110689,110.1706551,33,74,0.715359926
681,160392.7557,382001.4739,186.0000916,64,77,137.9110689,110.1706551,33,74,0.668589592
683,160244.7342,382510.6286,249.1643372,64,77,137.9110689,110.1706551,33,74,0.752440035
687,162455.1118,387263.5747,296.3067017,190,207,290.6023465,197.6820818,-9,101,0.571670115
689,161792.2924,386151.4161,285.0277405,190,207,290.6023465,197.6820818,-9,101,0.584528089
695,163050.4094,380845.6835,581.0001831,190,207,290.6023465,197.6820818,-9,101,0.618893862
696,163710.363,380899.2281,719.7764893,190,207,290.6023465,197.6820818,-9,101,0.521647811
697,160165.8059,387426.6632,367.9599915,190,207,290.6023465,197.6820818,-9,101,0.544395626
705,163358.7739,381512.3318,294.0360718,190,207,290.6023465,197.6820818,-9,101,0.817762911
708,164020.1804,384178.9958,348.9599915,190,207,290.6023465,197.6820818,-9,101,0.58970964
710,160788.0633,386280.7311,280.7997131,109,111,128.9965795,121.8170066,11,20,0.562070727
713,163557.1766,383670.0884,291.0299683,190,207,290.6023465,197.6820818,-9,101,0.682794213
716,161753.0452,381216.4418,846.3560181,190,207,290.6023465,197.6820818,-9,101,0.573518217
718,162155.0417,383650.2822,912.3307495,190,207,290.6023465,197.6820818,-9,101,0.642781556
722,160332.7516,381419.998,315.3389893,64,77,137.9110689,110.1706551,33,74,0.679184079
725,157266.829,383285.4503,598.1593018,64,77,137.9110689,110.1706551,33,74,0.563112557
727,159656.9742,381939.873,329.7600098,64,77,137.9110689,110.1706551,33,74,0.57181114
728,161344.7737,381370.1024,603.6126099,64,77,137.9110689,110.1706551,33,74,0.594433248
729,159882.7827,386122.7015,315.2200012,109,111,128.9965795,121.8170066,11,20,0.537921071
734,162228.6338,387635.3688,328.8504639,190,207,290.6023465,197.6820818,-9,101,0.68246299
