OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,CID,DependeVar,amenity,name,operator,brand,ID_unque,Parking_Location,NEAR_FID,Train_station,Gas_station,CarRental,BusStation,Hospital,EatingDrinking,RoadNetwork,PowerNetwork,obsvalue,categorie,POINT_X,POINT_Y,RASTERVALU
1,1,203,1,203,,1,charging_station, ,Allego, ,203,0.260990293,4261,2814.792079,436.2331115,659.8982742,3140.794504,4348.802817,59.81338246,16.75628844,2.385236007,4481,Hoofdweg,157496.1932,383013.8357,0.537382722
2,1,204,1,204,,1,charging_station, , , ,204,350.7370201,2111,3153.478999,1148.708431,1386.47073,2429.27506,5088.518895,694.6615963,5.644537657,0.000535745,4481,Woongebied,156876.4827,383419.989,0.519078672
5,1,207,1,207,,1,charging_station, ,Allego, ,207,121.0513716,2744,1905.876149,808.5333114,926.7456575,2894.335773,4290.041802,216.2635402,7.384905951,0.658023266,2740,Woongebied,158102.906,383749.6987,0.570151508
6,1,208,1,208,,1,charging_station, ,evnetnl, ,208,291.8348422,2474,2135.333217,525.1191727,669.8525382,2963.811466,4194.516198,355.1878752,6.903918575,10.108075,2740,Hoofdweg,157998.7097,383480.5524,0.591356814
7,1,209,1,209,,1,charging_station, ,Allego, ,209,6.74365285,1243,937.8636146,171.217267,1552.210748,2074.520964,3906.526726,448.0734589,2.827227011,93.71019877,2493,Woongebied,159049.7634,384072.1639,0.542441487
8,1,210,1,210,,1,charging_station, ,Lidl, ,210,443.3183442,1300,2797.413329,660.0455527,960.8226666,2380.555711,4461.389065,174.144552,5.820613329,48.45200141,5585,Bedrijfsterrein,164329.0871,384113.3561,0.526078045
13,1,215,1,215,,1,charging_station, , , ,215,89.25642393,6264,1468.288964,638.2122461,664.9429731,784.7846304,2151.886654,136.8183653,3.296471271,14.59435473,6715,Woongebied,162459.9066,382657.5013,0.724604607
14,1,216,1,216,,1,charging_station,Allego Charging Station,Allego, ,216,53.70026906,5214,1203.961718,564.3948582,372.5166137,506.7229355,2148.000613,155.9102295,11.39833455,12.64347509,6715,Woongebied,162203.2689,382798.3075,0.763752222
15,1,217,1,217,,1,charging_station, ,Allego, ,217,234.3177715,7528,1787.580867,696.2692411,880.9015417,880.1440271,1628.457516,224.6240534,5.648698747,81.50322737,6715,Woongebied,162250.9377,382164.8329,0.783259213
16,1,218,1,218,,1,charging_station, ,Allego, ,218,6.298313867,7528,2019.954578,710.7005259,890.6131627,1132.005312,1630.420501,114.524478,2.30748684,92.71823847,7304,Woongebied,162443.8027,381997.9244,0.797747493
17,1,219,1,219,,1,charging_station, ,Allego, ,219,235.1068257,5025,1779.956069,885.5339079,777.832662,939.6312439,1819.568241,305.5258255,8.245973554,16.75790343,6715,Woongebied,162433.5157,382264.3004,0.773980916
18,1,220,1,220,,1,charging_station, , , ,220,284.9034786,873,2322.555381,137.800283,1030.979977,1587.270014,1121.442059,23.22548119,6.692276197,2.902006526,6897,Woongebied,160545.8985,381713.4561,0.697168529
19,1,221,1,221,,1,charging_station, , , ,221,515.4663248,3058,3188.475365,998.5409349,1636.564498,2420.527992,1296.791496,651.3100561,7.443994172,87.9261195,6897,Woongebied,159988.8039,381027.4917,0.629383087
20,1,222,1,222,,1,charging_station, ,Parkcharge, ,222,165.6730701,2548,2490.124503,595.2018419,921.0967354,1712.66089,2129.439839,226.1908635,7.169506277,1.246956324,4302,Park en plantsoen,159608.5111,382187.057,0.53347069
21,1,223,1,223,,1,charging_station, ,Allego, ,223,0,5814,1330.189263,345.2302404,16.32631062,573.4677675,1878.037171,43.96354673,8.009921536,2.851300515,5934,Detailhandel en horeca,160833.537,382686.7268,0.863902926
22,1,224,1,224,,1,charging_station, , , ,224,253.568122,5914,1515.634328,89.97092121,273.9541186,709.4341506,1921.463389,222.1126929,7.920736011,37.93689821,5934,Woongebied,160571.7525,382649.474,0.861775875
