j,ID_unique,POINT_X,POINT_Y,Y,Probability,LandPrice,Grid_supply,Chosen_BatTypes
0,1,159582.4529,384981.8982,1.0,0.638422072,186.7854004,111.0,0
1,2,164739.4109,384029.4093,1.0,0.290838331,262.6001587,207.0,0
10,11,159664.359,384622.0184,1.0,0.600970328,266.7861938,111.0,0
16,17,162758.657,387929.8815,1.0,0.552318931,310.9631653,207.0,0
27,28,163603.6352,383195.3422,1.0,0.727056742,289.643158,207.0,0
29,30,161751.7677,385593.9844,1.0,0.680577934,263.9170837,207.0,0
32,33,159403.5542,381490.7612,1.0,0.60365057,280.8399963,77.0,0
38,39,164565.504,384204.5269,1.0,0.399486154,311.5315857,207.0,0
39,40,159733.7683,382068.874,1.0,0.561973333,240.4869232,77.0,0
43,44,163699.9264,383641.215,1.0,0.664977074,281.53125,207.0,0
50,51,163225.3836,383319.8454,1.0,0.789447486,251.4498901,207.0,0
54,55,162938.3608,383089.1632,1.0,0.809036195,309.8599548,207.0,0
65,66,158127.57,383303.1093,1.0,0.560813189,308.4058533,77.0,0
66,67,161756.253,385422.8974,1.0,0.662278652,251.5554199,207.0,0
83,84,160270.4635,387127.7549,1.0,0.563315868,258.9400024,111.0,0
96,97,159403.2866,383382.6183,1.0,0.677096128,331.7999878,77.0,0
98,99,159482.3674,381081.0815,1.0,0.606908441,290.8999939,77.0,0
101,102,157869.115,380998.9188,1.0,0.525001705,263.0502319,77.0,0
106,107,159497.3218,389260.049,1.0,0.313163549,235.8454132,111.0,0
111,112,160475.3305,382364.2921,1.0,0.740398288,281.1400146,77.0,0
117,118,160952.1306,386875.2278,1.0,0.562430918,304.6843262,111.0,0
119,120,159841.0249,385376.1402,1.0,0.744187593,306.9666138,111.0,0
121,122,159312.2133,383769.9627,1.0,0.635733366,334.5487061,77.0,0
127,128,159849.4765,381785.1087,1.0,0.638946712,234.1065674,77.0,0
128,129,161596.9327,385622.3577,1.0,0.669743955,278.0,207.0,0
130,131,157973.7371,380940.8995,1.0,0.543916166,312.8260803,77.0,0
134,135,164638.0002,383721.5663,1.0,0.305305332,304.2200012,207.0,0
141,142,159412.1603,381304.5453,1.0,0.616738975,307.6600037,77.0,0
148,149,160395.0559,384487.2325,1.0,0.726087928,325.2000122,111.0,0
153,154,161373.7638,385360.6353,1.0,0.597350359,253.1761017,207.0,0
154,155,159151.1203,384175.828,1.0,0.589216888,289.4707947,77.0,0
167,168,160031.359,387133.2743,1.0,0.517220378,223.0939026,111.0,0
170,171,164433.8432,384030.0976,1.0,0.461145431,263.8638306,207.0,0
182,183,159207.2215,388121.8968,1.0,0.491285086,312.2000122,111.0,0
186,187,164051.7099,384479.54,1.0,0.513618231,294.934845,207.0,0
189,190,161409.0996,385471.4101,1.0,0.658060789,245.3084717,207.0,0
191,192,163004.5235,382013.5025,1.0,0.775908411,293.1000061,207.0,0
209,210,162190.18,387007.7711,1.0,0.525001347,292.1773376,207.0,0
211,212,161898.77,384614.7032,1.0,0.34114024,194.4894104,207.0,0
212,213,160674.9343,383272.1975,1.0,0.81531018,248.7089081,77.0,0
214,215,161432.9237,387621.8297,1.0,0.560102046,333.0,207.0,0
229,230,159222.2693,381596.6592,1.0,0.5877105,253.8051758,77.0,0
230,231,158053.4074,381011.9572,1.0,0.566416621,262.1062622,77.0,0
242,243,163544.6391,383520.3523,1.0,0.69268167,283.9869995,207.0,0
243,244,158200.2413,383601.3999,1.0,0.559526265,304.6000061,77.0,0
249,250,161181.125,383991.635,1.0,0.65782994,321.2835083,207.0,0
253,254,159683.953,387016.3946,1.0,0.434481055,172.0018921,111.0,0
259,260,160481.0928,382062.5052,1.0,0.702359438,253.8020325,77.0,0
262,263,159764.3982,380937.2976,1.0,0.553045809,285.9724121,77.0,0
264,265,160640.4605,383949.0518,1.0,0.758514881,340.0,111.0,0
269,270,159558.3735,384474.0945,1.0,0.610262573,321.4851379,77.0,0
279,280,158034.5183,383661.1724,1.0,0.586410761,313.0400085,77.0,0
281,282,161867.2708,382592.7026,1.0,0.755645275,291.1600037,207.0,0
287,288,161506.4564,388274.3191,1.0,0.448212981,323.7000122,207.0,0
298,299,161545.3487,384580.1588,1.0,0.402494013,327.0291443,207.0,0
306,307,164099.4247,382992.2593,1.0,0.539974511,271.1599121,207.0,0
310,311,163330.9921,383260.1063,1.0,0.771195054,338.4944458,207.0,0
311,312,160423.0076,387802.3017,1.0,0.510029376,278.3008423,207.0,0
316,317,160694.8797,386708.6373,1.0,0.575919807,301.8999939,111.0,0
335,336,159642.5725,384260.533,1.0,0.634406686,269.0359802,111.0,0
340,341,162739.9118,387620.4526,1.0,0.574524224,317.4400024,207.0,0
350,351,160995.9326,385525.938,1.0,0.681825817,273.802887,111.0,0
358,359,164104.8784,383798.2528,1.0,0.558990896,330.1923828,207.0,0
362,363,161710.3578,379641.6324,1.0,0.231827602,343.9868164,207.0,0
365,366,158202.9763,381061.0691,1.0,0.62567693,282.4928589,77.0,0
371,372,160556.4555,381433.8981,1.0,0.643234909,269.5598755,77.0,0
374,375,163732.1471,382953.6606,1.0,0.691496849,232.2144318,207.0,0
378,379,157589.5783,383429.3786,1.0,0.563825846,380.7124634,77.0,0
381,382,162216.6867,387481.978,1.0,0.664029121,303.0401306,207.0,0
386,387,162155.2446,386813.3909,1.0,0.477510393,279.4945374,207.0,0
390,391,163473.0142,383601.599,1.0,0.693693578,330.5944824,207.0,0
398,399,160312.4814,381902.0501,1.0,0.666362643,335.7064514,77.0,0
408,409,161932.2997,385986.4951,1.0,0.622195661,266.8001099,207.0,0
420,421,161919.7163,386658.4479,1.0,0.466406256,286.6599121,111.0,0
421,422,162666.7662,387434.9461,1.0,0.598617494,291.5400085,207.0,0
426,427,163870.8836,383285.3715,1.0,0.614077926,271.2000122,207.0,0
441,442,164298.6376,383948.8866,1.0,0.4907974,315.8786621,207.0,0
448,449,163292.786,381234.9281,1.0,0.759685516,305.186615,207.0,0
451,452,161115.814,385609.9748,1.0,0.652218759,283.1600037,111.0,0
453,454,161776.2177,387411.7105,1.0,0.636870921,318.8182068,111.0,0
455,456,163974.9078,384355.2659,1.0,0.556357384,306.8791199,207.0,0
465,466,163027.8977,382434.6264,1.0,0.730852902,275.1774902,207.0,0
466,467,162939.2398,384253.8498,1.0,0.494209051,284.9340515,207.0,0
473,474,163292.565,382134.1437,1.0,0.761538863,291.145752,207.0,0
478,479,164067.5492,383128.399,1.0,0.545490026,280.2663879,207.0,0
488,489,160320.2182,385972.5333,1.0,0.651100993,304.8800049,111.0,0
490,491,158453.1892,381374.431,1.0,0.654839337,275.5,77.0,0
491,492,161589.9467,387440.8318,1.0,0.617444158,309.4162292,111.0,0
497,498,162706.2086,387728.497,1.0,0.577652633,329.4985657,207.0,0
507,508,160257.8334,385169.5432,1.0,0.746037066,314.4456482,111.0,0
