OBJECTID,Join_Count,TARGET_FID,bu_code,bu_naam,wk_code,gm_naam,gm_code,aantal_personenautos_2024,aantal_thuislaadpunten_2024,aantal_werklaadpunten_2024,aantal_semi_publiekelaadpunten_2024,aantal_bestemmingslaadpunten_2024,aantal_laadpunten_parkeergarages_2024,aantal_laadpunten_parkeerpleinen_2024,aantal_dc_snellaadpunten_2024,vermogen_dc_snellaadpunten_kw_2024,aantal_personenautos_2030,aantal_evs_2030,aantal_thuislaadpunten_2030,aantal_werklaadpunten_2030,aantal_semi_publiekelaadpunten_2030,aantal_bestemmingslaadpunten_2030,aantal_laadpunten_parkeergarages_2030,aantal_laadpunten_parkeerpleinen_2030,aantal_dc_snellaadpunten_2030,vermogen_dc_snellaadpunten_kw_2030,aantal_personenautos_2035,aantal_evs_2035,aantal_thuislaadpunten_2035,aantal_werklaadpunten_2035,aantal_semi_publiekelaadpunten_2035,aantal_bestemmingslaadpunten_2035,aantal_laadpunten_parkeergarages_2035,aantal_laadpunten_parkeerpleinen_2035,aantal_dc_snellaadpunten_2035,vermogen_dc_snellaadpunten_kw_2035,aantal_personenautos_2050,aantal_evs_2050,aantal_thuislaadpunten_2050,aantal_werklaadpunten_2050,aantal_semi_publiekelaadpunten_2050,aantal_bestemmingslaadpunten_2050,aantal_laadpunten_parkeergarages_2050,aantal_laadpunten_parkeerpleinen_2050,aantal_dc_snellaadpunten_2050,vermogen_dc_snellaadpunten_kw_2050,id,toename_vermogen_dc_snellaadpunten_kw_2030_tov_2024,toename_vermogen_dc_snellaadpunten_kw_2050_tov_2030,toename_vermogen_dc_snellaadpunten_kw_2050_tov_2024,X_cord,Y_cord,Join_Count_1,TARGET_FID_1,JOIN_FID,NAME,TOTPOP_CY,AREA,ID_12,NAME_1,TOTPOP_CY_1,Shape_Length_1,OBJECTID_1,regionaam,Solar_power_capacity_per_km2____MW_,Area_km2_,UniqueID,POINT_X,POINT_Y,Population,Solar_Supply_MW
1,1,8179,BU07725440,Heesterakker,WK077254,Eindhoven,GM0772,1611.42921,45,10.12845546,38.45823813,0.636442539,0,0,0.014666754,1.100006583,1713.417978,438.5310051,45,12,104.3111186,1.46442216,0,0,0.033701586,2.52761897,1796.531302,1037.241692,45,12,202.5936293,2.678399781,0,0,0.062105538,4.657915382,1925.990324,1925.990324,45,12,282.554439,4.145454545,0,0,0.0985653,7.392397475,4013,1.427612386,4.864778505,6.292390891,162703,388343,15,64,-1,Tempel,5255,1.19,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,4013,162702.5959,388343.1643,122.7000931,2.8322
2,1,8113,BU07724120,Hemelrijken,WK077241,Eindhoven,GM0772,931.8554529,13.91730557,56.38806024,6.921996596,5.247412904,0,12.1694095,0.048681142,3.651085681,990.833402,80.5314761,14.97534244,124.5524743,18.23662143,12.07403225,0,30.31065369,0.111860584,8.389543815,1038.896081,190.4782183,16.86678306,218.5252751,35.39363859,22.08317124,0,34,0.206137532,15.46031489,1113.759497,1113.759497,32,314.4282712,156.4612461,34.17890909,0,34,0.32715291,24.53646821,4962,4.738458133,16.1469244,20.88538253,160807,384430,7,71,-1,Fellenoord,185,0.22,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,4962,160806.7076,384430.2598,22.53254502,0.5236
3,1,8186,BU07725460,Bokt,WK077254,Eindhoven,GM0772,65.29870025,4.622069632,0,1.025876652,0.311856844,0,0,0.731483381,60.23269737,69.43151227,17.6603655,8.561374717,0,2.781406317,0.717566859,0,0,1.680818367,138.4039975,72.79944926,41.77143048,15.60362616,0,5.509487019,1.312415892,0,0,3.097424817,255.051935,78.04541712,78.04541712,25,0,7.999883864,2.031272727,0,0,4.915803211,404.7830682,7323,78.17130017,266.3790707,344.5503708,163138,389184,17,150,-1,Heesterakker,2706,0.52,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,7323,163137.5767,389183.8419,4.941334742,1.2376
4,1,8129,BU07722350,Gijzenrooi,WK077223,Eindhoven,GM0772,1092.722405,86.53585632,0,34.66183346,0,0,0,0,0,1161.881764,440.9409579,116.7285551,0,91.83729702,0,0,0,0,0,1218.241542,1042.941867,170.7037036,0,178.9705856,0,0,0,0,0,1306.028689,1306.028689,187,0,170.3968438,0,0,0,0,0,9752,0,0,0,163809,381058,9,389,-1,Puttense Dreef,1333,0.38,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,9752,163808.8194,381057.672,123.374393,0.9044
5,1,8151,BU07726250,Zwaanstraat,WK077262,Eindhoven,GM0772,587.2149689,42.77236205,0,39.64419259,2.038849256,0,9,0,0,624.3803194,216.9700859,58.08096422,0,77.91593464,4.691289236,0,9,0,0,654.667339,513.1915791,85.44798031,0,132.6508706,8.580277192,0,9,0,0,701.8430231,701.8430231,99,0,137.410843,13.28,0,9,0,0,10445,0,0,0,159304,384715,9,529,-1,Limbeek-Noord,2512,0.31,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,10445,159304.1657,384714.9847,60.70779358,0.7378
6,1,8122,BU07727260,Gennep,WK077272,Eindhoven,GM0772,15.34234014,1.442556602,2.35377127,0.153383129,2.445949167,0,0,0,0,16.31337031,5.155707552,4.066246674,5.199115456,0.450409502,5.628005587,0,0,0,0,17.10468827,12.19461056,8.089872253,9.121762868,0.939712528,10.29351326,0,0,0,0,18.3372614,18.3372614,11,13.12498121,1.171367862,15.93163636,0,0,0,0,5494,0,0,0,160847,380556,13,663,-1,Elzent-Zuid,304,0.14,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,5494,160847.2871,380556.4307,1.442556602,0.3332
7,1,8113,BU07724140,Woenselse Watermolen,WK077241,Eindhoven,GM0772,374.8579438,0,7.518408032,4.825534785,1.927639296,0,0,0,0,398.5830319,55.02453368,0,16.60699657,12.69796931,4.435400733,0,0,0,0,417.9172289,130.1475603,0,29.13670334,24.6225114,8.112262072,0,0,0,0,448.0325714,448.0325714,0,41.9237695,64.00465306,12.55563636,0,0,0,0,11286,0,0,0,161458,384557,7,667,-1,Fellenoord,185,0.22,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,11286,161458.1507,384557.4721,15.39575384,0.5236
8,1,8110,BU07722120,Rochusbuurt,WK077221,Eindhoven,GM0772,457.6486553,15.09386103,27.63323083,6.930446643,0.767639027,0,7.69808567,0.026524981,1.989373608,486.6136401,83.22358951,17.86686011,61.03751854,18.29451288,1.766298658,0,20.06081154,0.060949677,4.571225796,510.2179665,196.8457778,22.82411942,107.0893261,35.55643406,3.230526051,0,29,0.112318527,8.423889521,546.9845504,546.9845504,37,154.0870348,74.84343478,5,0,29,0.178256393,13.36922948,11744,2.581852188,8.798003679,11.37985587,162024,382561,7,747,-1,Binnenstad,4008,0.67,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,11744,162023.7627,382560.5136,23.28579294,1.5946
9,1,8195,BU07727310,Genderbeemd,WK077273,Eindhoven,GM0772,1900.736752,48,50.94416336,34.39867077,0.942381584,0,6,0.53051297,43.76731999,2021.036048,392.240633,48,112.5277509,90.51706915,2.168372462,0,6,1.2190242,100.5694965,2119.071102,927.7527314,48,197.428095,175.520787,3.965911254,0,6,2.246427029,185.3302299,2271.772517,2271.772517,48,284.0722867,324.538931,6.138181818,0,6,3.565217514,294.1304449,12863,56.80217653,193.5609484,250.3631249,158565,381496,14,939,-1,Hurk,62,2.08,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,12863,158564.5389,381496.1436,109.7481401,4.9504
10,1,8118,BU07722360,Nieuwe Erven,WK077223,Eindhoven,GM0772,416.7132479,4,32,5.233803077,0.395487627,0,5.629290704,0,0,443.0873949,42.60755167,4,32,23.61066406,0.909997069,0,16,0,0,464.5803796,100.7781171,4,32,43.50125178,1.664367022,0,16,0,0,498.0582941,498.0582941,4,32,98.60524587,2.576,0,16,0,0,13967,0,0,0,162586,381541,8,1126,-1,Tuindorp,2983,0.45,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,13967,162586.3649,381541.3364,11.92150725,1.071
