demand_i,station_j,m,t,flow_X,travel_time
4,1621,3,2,0.12259888252367623,123.49068450927734
62,1204,0,2,0.060132764217293605,124.80762481689453
74,1213,2,1,0.088,132.210205078125
95,1646,0,2,0.132,135.58953857421875
62,240,2,3,0.1,118.71685791015625
75,1500,1,3,0.03167433997051647,125.43285369873047
52,1391,0,1,0.088,111.52420806884766
46,1437,0,2,0.132,134.24464416503906
77,1743,3,1,0.088,117.96814727783203
58,810,3,3,0.1,126.07738494873047
67,1422,0,2,0.018760545614493473,130.15176391601562
89,31,0,3,0.01200000000000001,151.2565460205078
16,569,2,3,0.1,133.33192443847656
66,1549,1,2,0.12678416602977072,132.06277465820312
92,1485,0,2,0.132,128.9812774658203
33,519,3,1,0.088,129.72862243652344
52,944,2,1,0.088,117.03491973876953
24,475,2,2,0.132,124.61547088623047
93,1816,3,1,0.05227854570281265,115.24203491210938
24,998,1,2,0.132,128.33494567871094
107,562,1,2,0.007594360935345018,128.44171142578125
34,1100,3,2,0.132,126.4251937866211
92,2018,1,2,0.132,132.23635864257812
2,1162,0,3,0.022166598667221912,106.36582946777344
80,448,0,2,0.132,104.89043426513672
99,922,1,1,0.088,
1,1688,0,1,0.088,123.262451171875
95,417,2,0,0.0485438208679487,126.47764587402344
63,1688,0,0,0.04282279421554397,123.13948822021484
33,78,2,1,0.088,127.87297821044922
59,1740,0,0,0.06993202087760181,141.69007873535156
62,1852,2,1,0.08509020016890778,121.1866455078125
75,862,2,0,0.0012668253191070525,123.18672943115234
67,1,0,2,0.003511407166163494,150.8358612060547
82,330,2,3,0.1,134.62782287597656
49,439,2,2,0.132,123.97711944580078
95,2028,2,3,0.01200000000000001,133.58998107910156
84,401,2,1,0.0273144644898569,110.9894027709961
0,289,3,0,0.08193256706062929,117.00543212890625
3,1199,2,2,0.132,149.8568115234375
14,537,0,1,0.088,137.92333984375
32,1675,3,3,0.1,127.32746887207031
16,1711,1,1,0.088,138.2382049560547
0,636,0,3,0.1,119.20838165283203
93,1815,2,1,0.03864357640129959,117.9394760131836
52,274,2,2,0.132,115.54942321777344
66,1375,0,2,0.12437156884013534,131.9874725341797
105,744,0,1,0.088,143.1735382080078
74,1799,0,3,0.01200000000000001,145.28298950195312
71,1509,0,2,0.132,148.2989959716797
58,1754,2,2,0.132,128.6319580078125
28,1426,2,1,0.088,128.86752319335938
36,1001,3,3,0.1,126.90464782714844
92,79,0,3,0.09108123691495015,130.118896484375
70,529,2,3,0.08206877434157969,121.2844009399414
28,319,2,2,0.132,106.76277923583984
69,427,1,3,0.04468795980113155,138.5226593017578
70,659,3,2,0.0364722509289051,117.70347595214844
44,1889,3,2,0.132,138.0310516357422
105,1781,2,1,0.04792855201076829,139.02029418945312
33,1459,3,3,0.1,123.2021255493164
103,419,2,1,0.015301960311498969,140.38217163085938
52,1338,0,2,0.132,113.72921752929688
52,1369,2,1,0.088,125.00878143310547
32,22,1,3,0.1,129.44215393066406
89,518,2,3,0.01200000000000001,145.2440948486328
57,16,3,1,0.0377442166398457,127.61872863769531
92,615,2,0,0.154,126.69939422607422
92,368,2,2,0.132,133.63473510742188
58,1606,3,3,0.1,126.03926849365234
71,678,2,1,0.088,139.04981994628906
0,1088,1,1,0.088,122.53172302246094
112,921,2,1,0.088,121.8759536743164
0,1284,2,2,0.050802786109647835,118.5784912109375
54,1096,2,1,0.088,140.50599670410156
52,666,3,1,0.088,125.88329315185547
46,1894,1,3,0.01200000000000001,129.56178283691406
43,1930,2,1,0.06343085342604377,124.98405456542969
16,1106,3,2,0.132,136.03997802734375
43,1540,0,3,0.1,121.15424346923828
52,1710,1,3,0.01200000000000001,120.54310607910156
52,1937,1,2,0.132,113.63845825195312
68,1455,3,1,0.088,139.15538024902344
20,1671,2,3,0.01200000000000001,147.551513671875
15,2028,0,1,0.07261250584241882,135.84884643554688
52,831,2,1,0.088,119.42169952392578
31,705,3,1,0.088,123.20901489257812
34,1110,3,3,0.1,127.6542739868164
107,223,0,0,0.154,123.76400756835938
16,1494,1,3,0.1,138.017578125
62,888,0,2,0.132,119.53306579589844
32,1109,2,2,0.132,149.10964965820312
77,1953,2,3,0.1,120.82235717773438
