station_j,m,t,inventory_MWh
0,0,0,0.088
0,0,2,0.1
0,1,0,0.088
0,1,2,0.1
0,1,3,0.088
0,2,0,0.088
0,2,2,0.1
0,2,3,0.088
0,3,0,0.088
0,3,2,0.1
4,0,0,0.088
4,0,2,0.1
4,1,0,0.088
4,1,2,0.1
4,2,0,0.088
4,2,2,0.1
4,3,0,0.088
4,3,2,0.1
5,0,0,0.088
5,0,2,0.1
5,1,0,0.088
5,1,2,0.1
5,2,0,0.088
5,2,2,0.1
5,3,0,0.088
5,3,2,0.1
9,0,0,0.088
9,0,2,0.1
9,1,0,0.088
9,1,2,0.1
9,2,0,0.088
9,2,2,0.1
9,3,0,0.088
9,3,2,0.1
10,0,0,0.088
10,0,2,0.1
10,1,0,0.088
10,1,2,0.1
10,2,0,0.088
10,2,2,0.1
10,3,0,0.088
10,3,2,0.1
11,0,0,0.088
11,0,2,0.1
11,1,0,0.088
11,1,2,0.1
11,2,0,0.088
11,2,2,0.1
11,3,0,0.088
11,3,2,0.1
14,0,0,0.088
14,0,2,0.1
14,0,3,0.088
14,1,0,0.088
14,1,2,0.1
14,1,3,0.088
14,2,0,0.088
14,2,2,0.1
14,2,3,0.088
14,3,0,0.088
14,3,2,0.1
14,3,3,0.088
16,0,0,0.088
16,0,2,0.1
16,1,0,0.088
16,1,2,0.1
16,2,0,0.088
16,2,2,0.1
16,3,0,0.088
16,3,2,0.1
18,0,0,0.088
18,0,2,0.1
18,1,0,0.088
18,1,2,0.1
18,2,0,0.088
18,2,2,0.1
18,3,0,0.088
18,3,2,0.1
19,0,0,0.088
19,0,2,0.1
19,0,3,0.088
19,1,0,0.088
19,1,2,0.1
19,1,3,0.088
19,2,0,0.088
19,2,2,0.1
19,2,3,0.088
19,3,0,0.088
19,3,2,0.1
19,3,3,0.088
21,0,0,0.088
21,0,2,0.1
21,1,0,0.088
21,1,2,0.1
21,2,0,0.088
21,2,2,0.1
21,3,0,0.088
21,3,2,0.1
22,0,0,0.088
22,0,2,0.1
22,1,0,0.088
22,1,2,0.1
22,2,0,0.088
22,2,2,0.1
22,3,0,0.088
22,3,2,0.1
25,0,0,0.088
25,0,2,0.1
25,0,3,0.088
30,0,0,0.088
30,0,2,0.1
30,1,0,0.088
30,1,2,0.1
30,2,0,0.088
30,2,2,0.1
30,3,0,0.088
30,3,2,0.1
31,0,0,0.088
31,0,2,0.1
31,0,3,0.088
31,3,0,0.088
31,3,2,0.1
31,3,3,0.088
34,0,0,0.088
34,0,2,0.1
34,1,0,0.088
34,1,2,0.1
34,2,0,0.088
34,2,2,0.1
34,3,0,0.088
34,3,2,0.1
36,0,0,0.088
36,0,2,0.1
36,0,3,0.088
36,1,0,0.088
36,1,2,0.1
36,1,3,0.088
36,2,0,0.088
36,2,2,0.1
36,2,3,0.088
36,3,2,0.1
39,0,0,0.088
39,0,2,0.1
39,1,0,0.088
39,1,2,0.1
39,1,3,0.088
39,2,0,0.011212167170397247
39,2,2,0.1
39,2,3,0.011212167170397247
39,3,0,0.088
39,3,2,0.1
42,0,0,0.088
42,0,2,0.1
42,1,0,0.088
42,1,2,0.1
42,1,3,0.088
42,2,0,0.088
42,2,2,0.1
42,2,3,0.088
42,3,0,0.088
42,3,2,0.1
42,3,3,0.088
43,0,0,0.088
43,0,2,0.1
43,1,0,0.088
43,1,2,0.1
43,2,0,0.088
43,2,2,0.1
43,3,0,0.088
43,3,2,0.1
45,0,0,0.088
45,0,2,0.1
45,0,3,0.088
45,1,0,0.006204881553681291
45,1,2,0.0820992019545016
45,1,3,0.006204881553681291
45,3,0,0.03385276123368133
45,3,2,0.1
45,3,3,0.03385276123368133
46,0,0,0.088
46,0,2,0.1
46,1,0,0.088
46,1,2,0.1
46,2,0,0.088
46,2,2,0.1
46,3,0,0.088
46,3,2,0.1
47,0,0,0.088
47,0,2,0.1
47,1,0,0.088
47,1,2,0.1
47,2,0,0.088
47,2,2,0.1
47,3,0,0.088
47,3,2,0.1
50,0,0,0.088
50,0,2,0.1
50,0,3,0.088
50,1,0,0.033132711134826215
50,1,2,0.033132711134826215
50,1,3,0.033132711134826215
50,3,0,0.088
50,3,2,0.1
50,3,3,0.088
51,0,0,0.088
51,0,2,0.1
51,1,0,0.088
51,1,2,0.1
51,1,3,0.088
51,2,0,0.041821965296524405
51,2,2,0.1
51,3,0,0.088
51,3,2,0.1
53,0,0,0.088
53,0,2,0.1
53,1,0,0.088
53,1,2,0.1
53,1,3,0.088
53,2,0,0.04782037985746218
53,2,2,0.1
53,2,3,0.04782037985746218
53,3,0,0.088
53,3,2,0.1
54,0,0,0.088
54,0,2,0.1
54,0,3,0.088
54,1,2,0.1
54,2,0,0.088
54,2,2,0.1
54,2,3,0.088
54,3,0,0.088
54,3,2,0.1
54,3,3,0.088
57,0,0,0.088
57,0,2,0.1
57,1,0,0.088
57,1,2,0.1
57,2,0,0.088
57,2,2,0.1
57,3,0,0.088
57,3,2,0.1
58,0,0,0.088
58,0,2,0.1
58,1,0,0.088
58,1,2,0.1
58,1,3,0.088
58,2,0,0.06916975447355925
58,2,2,0.1
58,2,3,0.06916975447355925
58,3,0,0.088
58,3,2,0.1
63,0,0,0.088
63,0,2,0.1
63,1,2,0.1
63,2,0,0.088
63,2,2,0.1
63,2,3,0.088
63,3,0,0.088
63,3,2,0.1
68,0,0,0.088
68,0,2,0.1
68,1,0,0.088
68,1,2,0.1
68,2,0,0.088
68,2,2,0.1
68,3,0,0.088
68,3,2,0.1
71,0,0,0.088
71,0,2,0.1
71,1,0,0.088
71,1,2,0.1
71,2,0,0.088
