demand_i,n_chargers
0,44
1,9
2,2
3,37
4,21
5,2
6,11
7,11
8,33
9,5
10,12
11,15
12,6
13,7
14,22
15,20
16,77
17,14
18,21
19,24
20,16
21,4
22,55
23,18
24,54
25,16
26,12
27,4
28,26
29,8
30,25
31,27
32,52
33,22
34,19
36,23
37,5
38,29
39,27
40,5
41,2
42,29
43,16
44,13
45,1
46,44
48,26
49,20
51,17
52,88
53,8
54,25
56,11
57,17
58,18
59,34
60,4
61,28
62,37
63,24
66,36
67,17
68,24
69,13
70,22
71,28
74,33
75,8
77,28
79,10
80,3
82,42
83,18
84,6
85,19
87,19
88,39
89,57
90,1
91,23
92,61
93,39
94,13
95,30
96,2
97,33
99,15
100,4
102,24
103,23
105,33
106,8
107,18
109,6
110,15
112,17
113,12
114,10
115,8
