station_j,total_energy_MWh
0,1.104
1,0.132
4,1.28
5,1.28
9,1.28
10,1.28
11,1.28
14,0.928
16,1.434
18,1.896
19,0.928
21,1.28
22,1.896
25,0.36400000000000526
30,1.588
31,0.4640000000000053
34,1.896
36,0.928
39,1.104
40,0.132
42,1.016
43,1.6363507605180154
45,0.6780992019545016
46,1.28
47,2.0402662211314606
50,0.6291327111348263
51,1.1458219652965245
53,1.104
54,0.9280000000000053
57,1.896
58,1.104
62,0.132
63,1.104
68,1.896
71,1.28
72,1.2100303344395087
74,0.928
76,0.22
78,0.928
79,1.28
80,1.28
81,0.916
82,0.364
83,0.928
85,0.928
86,1.896
88,1.016
89,0.132
90,1.896
91,0.928
92,1.28
93,1.28
94,1.896
95,0.8280000000000001
96,1.910305644010418
99,1.1099251751149344
105,0.928
106,0.716
113,0.928
116,1.886390925047226
117,0.916000000000005
119,0.36400000000000526
123,1.016
125,0.928000000000005
126,1.28
128,0.7280000000000053
131,1.28
132,0.928
134,1.104
135,0.928
136,1.104
139,2.058
141,1.28
147,1.896
152,1.896
154,1.28
155,1.28
156,1.28
159,1.016
161,0.7280000000000053
162,0.36400000000000526
163,0.9280000000000053
165,1.588
166,1.8272440782113806
169,1.896
171,0.928
172,0.928
174,0.928
176,0.132
177,0.3431816071479855
178,0.8705388170977681
179,1.896
182,1.28
184,1.104
185,1.016
187,0.44534902679273436
188,0.892
189,0.928
190,0.928
191,0.9160000000000053
194,0.928
198,0.928
199,0.132
202,1.28
206,2.058
207,0.9160000000000106
211,0.452
217,0.9223982807994129
220,0.36400000000000526
221,1.28
223,1.896
224,1.28
227,1.104
230,1.896
231,0.928
232,1.28
233,0.928
237,0.22
238,1.28
239,0.36400000000000526
240,1.8667542620761495
243,0.928
245,0.928
247,0.5019127886854593
248,1.434
249,1.896
251,0.8280000000000001
253,1.28
254,1.434
256,0.928
258,1.28
259,0.452
260,1.896
266,0.704
267,1.016
270,1.0812570365971965
271,1.28
272,1.104
273,1.28
274,1.28
277,0.8060748586448807
278,0.9280000000000053
281,0.5201541304809439
282,1.2015073452932035
284,1.104
285,0.132
289,1.5159325670606294
290,1.28
292,0.8280000000000053
293,0.9280000000000053
294,1.104
298,1.104
299,1.28
302,0.132
304,0.8025775184296196
306,1.896
311,0.452
312,1.2190304258709443
313,0.928
314,0.132
315,2.058
317,0.132
318,0.8280000000000053
319,2.058
328,0.928
330,1.28
333,0.6960000000000053
334,1.896
336,1.3221426461018417
337,1.896
338,0.132
340,1.28
341,1.28
346,1.588
347,1.95
348,1.896
349,0.36400000000000526
350,1.28
351,0.4640000000000053
354,0.132
356,1.8645057285960998
357,0.132
359,2.0283648240361405
363,1.2927401783874584
365,1.588
366,0.928
367,1.016
368,0.928
369,1.28
370,0.36400000000000526
372,0.928
374,0.928
378,1.28
380,1.1398487845501986
382,0.36400000000000526
383,1.020653510224797
384,0.4035978524436016
386,0.4640000000000053
390,1.28
391,1.28
392,1.28
395,0.4640000000000053
398,0.22
399,1.28
401,1.896
407,0.36400000000000526
409,0.928
413,1.104
415,0.22
416,0.928
417,1.7073722392961537
419,1.104
421,0.928
423,1.896
424,0.7280000000000053
426,0.7605028195335937
427,1.104
428,0.452
429,0.352
430,1.896
432,1.28
434,0.928000000000005
437,0.928
438,1.192
439,0.928
440,0.728
441,0.364
443,0.352
444,1.104
445,1.28
447,0.452
448,1.3951969738804828
453,2.112
454,2.093365493136218
455,0.132
456,1.28
458,0.352
459,0.132
461,0.36400000000000526
462,0.9280000000000053
463,0.4520000000000053
466,1.28
467,1.28
469,1.28
474,1.28
475,1.28
478,1.104
479,1.104
481,0.9280000000000053
482,1.28
484,1.28
485,0.928
486,1.588
487,0.9650031159891355
488,1.896
489,1.192
490,1.104
491,0.132
492,0.928
493,1.28
495,1.192
499,1.28
500,1.896
501,0.928
502,0.464
503,0.9280000000000053
504,0.352
505,1.896
507,1.28
508,0.4640000000000053
510,0.132
511,1.896
512,1.28
515,0.8280000000000053
518,1.016
519,0.9280000000000053
520,0.728
522,0.928
523,0.132
524,1.8649136904173227
525,0.928
529,1.28
534,1.3154594437215184
535,0.36400000000000526
536,1.28
537,0.928
541,1.28
543,1.104
545,1.28
547,0.7507569325342583
548,0.132
557,1.28
559,0.928
560,1.104
562,1.28
565,0.132
567,0.364
569,1.2919222674637936
570,0.364
571,1.28
572,0.132
574,1.104
578,0.352
579,1.28
580,1.104
581,1.896
584,0.132
585,0.352
586,1.28
588,1.016
589,1.28
590,0.9280000000000053
591,1.016
592,0.928
593,1.1663884153384578
594,1.1593892084333732
595,1.28
598,0.6991060907853779
600,1.28
606,1.28
607,1.28
609,1.192
610,0.928
611,0.36400000000000526
615,1.896
616,0.928
617,1.28
622,0.5840000000000001
625,0.928
629,1.896
630,1.28
631,1.5117911434858091
636,1.104
637,1.104
638,0.9280000000000106
639,0.36400000000000526
641,1.896
642,1.104
648,1.28
650,1.28
651,1.896
652,0.24632363827351775
654,0.928
657,0.132
659,1.896
660,0.132
661,1.896
662,1.28
663,0.452
666,0.9280000000000053
668,0.36400000000000526
669,0.8676220529860676
670,1.4340000000000002
674,1.896
678,1.1988953947447223
679,0.928
680,0.3993110733645103
681,1.28
686,1.896
687,1.95
688,0.364
693,1.28
694,1.28
696,0.352
699,1.896
702,1.016
703,0.6202063987118531
704,1.896
705,1.28
706,0.8280000000000053
709,0.23200000000000526
710,1.464871709145223
713,0.928
718,0.3881525289854594
720,0.8280000000000053
721,0.352
