station_j,battery_type,active,battery_type_label
0,0,1.0,Small
1,0,1.0,Small
4,0,1.0,Small
5,0,1.0,Small
9,0,1.0,Small
10,0,1.0,Small
11,0,1.0,Small
14,0,1.0,Small
16,0,1.0,Small
18,0,1.0,Small
19,0,1.0,Small
21,0,1.0,Small
22,0,1.0,Small
25,0,1.0,Small
30,0,1.0,Small
31,0,1.0,Small
34,0,1.0,Small
36,0,1.0,Small
39,0,1.0,Small
40,0,1.0,Small
42,0,1.0,Small
43,0,1.0,Small
45,0,1.0,Small
46,0,1.0,Small
47,0,1.0,Small
50,0,1.0,Small
51,0,1.0,Small
53,0,1.0,Small
54,0,1.0,Small
57,0,1.0,Small
58,0,1.0,Small
62,0,1.0,Small
63,0,1.0,Small
68,0,1.0,Small
71,0,1.0,Small
72,0,1.0,Small
74,0,1.0,Small
76,0,1.0,Small
78,0,1.0,Small
79,0,1.0,Small
80,0,1.0,Small
81,0,1.0,Small
82,0,1.0,Small
83,0,1.0,Small
85,0,1.0,Small
86,0,1.0,Small
88,0,1.0,Small
89,0,1.0,Small
90,0,1.0,Small
91,0,1.0,Small
92,0,1.0,Small
93,0,1.0,Small
94,0,1.0,Small
95,0,1.0,Small
96,0,1.0,Small
99,0,1.0,Small
105,0,1.0,Small
106,0,1.0,Small
113,0,1.0,Small
116,0,1.0,Small
117,0,1.0,Small
119,0,1.0,Small
123,0,1.0,Small
125,0,1.0,Small
126,0,1.0,Small
128,0,1.0,Small
131,0,1.0,Small
132,0,1.0,Small
134,0,1.0,Small
135,0,1.0,Small
136,0,1.0,Small
139,0,1.0,Small
141,0,1.0,Small
147,0,1.0,Small
152,0,1.0,Small
154,0,1.0,Small
155,0,1.0,Small
156,0,1.0,Small
159,0,1.0,Small
161,0,1.0,Small
162,0,1.0,Small
163,0,1.0,Small
165,0,1.0,Small
166,0,1.0,Small
169,0,1.0,Small
171,0,1.0,Small
172,0,1.0,Small
174,0,1.0,Small
176,0,1.0,Small
177,0,1.0,Small
178,0,1.0,Small
179,0,1.0,Small
182,0,1.0,Small
184,0,1.0,Small
185,0,1.0,Small
187,0,1.0,Small
188,0,1.0,Small
189,0,1.0,Small
190,0,1.0,Small
191,0,1.0,Small
194,0,1.0,Small
198,0,1.0,Small
199,0,1.0,Small
202,0,1.0,Small
206,0,1.0,Small
207,0,1.0,Small
211,0,1.0,Small
217,0,1.0,Small
220,0,1.0,Small
221,0,1.0,Small
223,0,1.0,Small
224,0,1.0,Small
227,0,1.0,Small
230,0,1.0,Small
231,0,1.0,Small
232,0,1.0,Small
233,0,1.0,Small
237,0,1.0,Small
238,0,1.0,Small
239,0,1.0,Small
240,0,1.0,Small
243,0,1.0,Small
245,0,1.0,Small
247,0,1.0,Small
248,0,1.0,Small
249,0,1.0,Small
251,0,1.0,Small
253,0,1.0,Small
254,0,1.0,Small
256,0,1.0,Small
258,0,1.0,Small
259,0,1.0,Small
260,0,1.0,Small
266,0,1.0,Small
267,0,1.0,Small
270,0,1.0,Small
271,0,1.0,Small
272,0,1.0,Small
273,0,1.0,Small
274,0,1.0,Small
277,0,1.0,Small
278,0,1.0,Small
281,0,1.0,Small
282,0,1.0,Small
284,0,1.0,Small
285,0,1.0,Small
289,0,1.0,Small
290,0,1.0,Small
292,0,1.0,Small
293,0,1.0,Small
294,0,1.0,Small
298,0,1.0,Small
299,0,1.0,Small
302,0,1.0,Small
304,0,1.0,Small
306,0,1.0,Small
311,0,1.0,Small
312,0,1.0,Small
313,0,1.0,Small
314,0,1.0,Small
315,0,1.0,Small
317,0,1.0,Small
318,0,1.0,Small
319,0,1.0,Small
