demand_i,n_chargers
0,51
1,8
2,3
3,33
4,14
5,2
6,9
7,10
8,24
9,4
10,15
11,14
12,6
13,7
14,22
15,20
16,67
17,12
18,22
19,22
20,15
21,3
22,42
23,18
24,52
25,20
26,10
27,5
28,22
29,6
30,17
31,17
32,36
33,24
34,13
36,26
37,4
38,23
39,20
40,3
41,1
42,30
43,10
44,16
45,1
46,40
48,28
49,20
51,19
52,91
53,6
54,18
56,17
57,16
58,26
59,29
60,5
61,22
62,41
63,25
66,40
67,11
68,22
69,12
70,22
71,30
73,1
74,31
75,8
77,25
79,6
80,5
82,43
83,15
84,6
85,16
87,20
88,34
89,50
90,1
91,20
92,38
93,32
94,11
95,32
96,2
97,35
99,11
100,6
102,28
103,20
105,28
106,10
107,16
109,6
110,16
112,15
113,12
114,7
115,14
