station_j,total_energy_MWh
0,0.704
4,1.004
5,1.28
9,0.892
10,0.88
11,0.892
14,0.704
15,2.112
16,1.388
17,1.2042544251487657
18,2.112
19,0.5720265287165309
21,0.9377166631692023
22,1.6459485899679853
23,2.112
25,0.132
30,1.5851418769793333
31,0.132
34,2.112
36,0.352
39,0.8302120090999152
42,0.7851975517362854
43,1.7864045469793333
44,1.1274647189060774
45,0.352
46,1.28
47,2.112
51,0.88
53,0.992
57,2.112
58,0.88
62,0.132
63,0.88
64,1.804
66,2.112
67,0.88
68,2.112
71,0.88
72,0.892
74,0.704
78,0.88
79,0.88
80,1.4718700452190867
83,0.704
85,0.4186946031874299
86,2.112
88,0.88
90,1.8336497482194531
91,0.352
92,1.28
93,1.28
94,1.496
95,0.352
96,1.7398696516913577
97,1.28
98,2.112
99,0.992
100,1.104
103,0.88
106,0.352
113,0.5720000000000001
115,1.104
116,1.7908410523295373
117,0.352
122,0.88
123,0.88
125,0.352
126,1.0237876990845165
128,0.352
131,1.0949453839075747
132,0.4762902158955135
134,0.88
135,0.792
136,0.704
137,0.88
139,2.112
141,0.904
145,2.112
147,2.112
149,0.992
152,2.112
154,0.88
155,1.28
156,1.334
159,0.704
163,0.5720000000000001
164,1.588
165,1.65
166,2.0432440782113805
169,2.112
171,0.704
174,0.44
175,1.28
178,0.352
179,2.112
182,1.28
184,0.88
185,0.5967798964778692
186,0.704
187,0.132
188,0.5040073548738806
189,0.352
190,0.44
191,0.352
194,0.44
197,1.496
198,0.44
202,1.28
205,0.88
206,2.112
207,0.704
211,0.132
217,0.44
220,0.132
221,0.88
223,2.112
224,0.9507220873651538
227,0.88
230,2.112
231,0.704
232,1.496
233,0.704
238,0.992
239,0.132
240,1.65
248,1.496
249,2.112
251,0.352
253,0.892
254,1.496
255,2.112
256,0.8664919034523487
258,1.28
259,0.132
260,2.107391869998677
263,2.112
267,0.88
270,0.88
271,0.88
272,0.88
273,0.992
274,1.092
277,0.352
278,0.704
281,0.352
282,0.892
284,0.892
285,0.132
288,2.112
289,1.388
290,1.28
293,0.352
294,0.704
298,0.7739142561412691
299,0.88
300,0.88
302,0.132
303,0.88
304,0.352
306,2.112
311,0.352
312,1.1687519104585544
313,0.352
315,2.112
317,0.132
318,0.352
319,2.112
320,0.88
321,0.88
328,0.352
330,0.88
333,0.132
334,2.112
336,1.043623804574383
337,1.496
340,0.9994330637171577
341,1.092
346,1.496
347,2.112
348,2.112
350,1.3065577280635328
351,0.132
353,1.28
356,1.65
359,1.9383648240361406
363,1.28
365,1.804
366,0.704
367,0.704
368,0.352
369,1.28
370,0.132
372,0.704
374,0.704
378,0.88
379,1.442
380,0.88
383,0.88
384,0.132
385,1.3928662998913617
386,0.20969032850784156
390,0.892
391,1.28
392,0.88
395,0.20307864218567476
396,2.112
397,2.112
399,0.88
401,2.112
405,1.496
407,0.132
409,0.352
413,0.88
414,0.892
415,0.132
416,0.44
417,1.804
419,0.7695809712259639
421,0.44240451976140777
423,2.112
424,0.352
426,0.352
427,0.88
430,2.112
432,1.28
437,0.44
438,1.08
439,0.5720000000000001
440,0.352
441,0.19805269974896053
443,0.132
444,0.88
445,1.334
448,1.334
450,1.28
453,2.112
454,2.112
455,0.132
456,1.28
460,2.112
462,0.352
464,1.1190574303861445
466,1.28
467,1.104
469,0.892
473,2.112
474,1.388
475,1.004
477,0.892
478,0.892
479,0.88
481,0.352
482,1.28
484,1.08
485,0.352
486,1.28
487,0.751931803765141
488,1.8176182961311194
489,0.892
490,0.88
491,0.132
492,0.8320714479892317
493,0.892
495,0.892
496,1.28
499,0.9686884519439847
500,1.5812557953960305
501,0.8554265025795921
502,0.132
505,2.112
507,1.104
511,2.112
512,0.88
515,0.352
518,0.88
519,0.5720000000000001
521,2.112
522,0.704
524,1.4291518257464366
525,0.704
528,1.28
529,1.496
530,2.112
531,0.88
534,1.28
536,1.016
537,0.7894345726088661
539,1.28
541,1.28
543,0.88
545,1.2735244777686896
546,0.704
553,2.112
557,0.88
558,1.9913558101191002
559,0.45622801439599336
560,0.88
562,0.892
569,1.496
571,1.004
572,0.132
574,0.88
575,1.496
576,1.2917977167201584
579,0.88
580,0.7502198226575918
581,1.9119075138615154
585,0.132
586,1.104
587,0.88
588,0.7800193950800609
589,0.88
591,0.704
592,0.704
593,0.88
594,0.88
595,0.88
598,0.352
600,0.88
602,1.496
606,1.388
607,1.496
609,1.093439546518927
610,0.44
611,0.132
614,2.112
615,2.112
616,0.704
617,0.88
619,1.496
620,0.892
621,0.88
625,0.704
628,0.88
629,2.112
630,1.442
631,1.7277911434858089
632,1.334
636,0.892
637,0.892
638,0.44
639,0.132
641,2.112
642,0.88
648,1.28
650,1.496
651,2.112
652,0.132
654,0.352
656,1.282866274822928
659,2.112
661,2.112
662,1.28
663,0.132
666,0.704
670,1.5595463523658089
674,2.112
678,0.88
679,0.704
681,0.88
686,1.496
687,1.496
688,0.132
693,1.28
694,0.88
697,1.4486044843099457
699,1.9298681889614762
702,0.88
704,2.112
705,0.892
709,0.132
710,1.496
713,0.24095825791457753
717,1.5411122016234615
718,0.30752269650047337
720,0.352
722,2.112
724,0.22
728,0.88
730,2.112
733,0.892
734,0.44
735,0.132
737,0.44
738,0.88
739,0.88
741,1.104
744,0.704
746,0.88
748,1.28
750,2.112
751,0.132
753,0.352
755,1.496
756,0.4724918931928629
757,0.132
759,0.704
762,0.08761030732349806
764,0.88
766,1.3708768128863782
767,2.112
769,0.352
771,1.496
772,0.88
776,0.132
777,1.65
779,1.65
780,0.352
781,1.28
782,1.1108262980016368
783,0.132
786,0.928
788,0.88
790,0.88
792,1.28
793,1.28
794,0.44
795,2.071048677608036
797,1.192
798,1.804
799,0.5046433777517503
800,0.892
801,0.88
802,0.132
807,0.88
810,1.016
816,0.7641696801837573
817,0.704
819,1.28
820,0.1803212091606125
822,2.112
823,1.28
831,0.88
832,0.352
833,2.112
835,0.352
836,1.104
837,0.352
839,0.992
841,1.1762578771029748
843,0.88
845,1.0177990859178583
847,0.352
850,1.104
852,1.28
853,1.496
854,1.496
857,2.112
858,0.352
859,0.5720000000000001
860,1.28
862,2.112
865,0.6132897133648024
866,0.892
868,1.28
871,2.112
873,0.9332543389042361
877,2.112
885,1.2783536562576947
887,0.88
888,1.334
889,1.496
894,0.88
896,1.783543175767817
898,1.1492898845596977
900,0.44
901,1.840738303350538
902,1.6413771718880839
903,2.112
904,0.704
908,0.44
910,0.88
911,0.88
912,0.132
914,0.88
916,0.704
917,0.20320839100518698
919,0.4752610944144284
920,0.892
921,0.88
922,2.0222128089145888
924,1.28
925,0.132
927,0.88
928,1.229423565177002
929,1.6305339657644073
930,1.7875038560428518
931,0.904
932,0.88
933,1.4846602100444235
934,1.192
936,1.28
938,1.496
941,0.352
944,0.88
946,0.88
951,0.88
953,0.352
958,2.1113110030079048
960,1.496
963,1.28
966,0.704
971,1.28
973,0.88
974,0.132
976,0.8877088518187753
977,0.132
980,1.7081908221149473
983,1.496
985,2.112
988,0.704
989,1.016
990,0.88
991,1.004
992,2.112
993,0.88
994,1.8479920232126767
995,1.28
997,1.496
998,0.704
999,0.132
1001,0.88
1004,1.8511970688752615
1005,0.88
1007,2.112
1008,0.88
1010,0.132
1012,0.352
1014,1.334
1018,2.112
1021,1.28
1022,1.496
1023,1.28
1026,0.88
1027,2.0190143242885035
1031,1.192
1032,0.704
1036,0.132
1039,1.496
1042,0.44
1043,1.28
1044,2.112
1046,1.073602518126394
1048,0.88
1052,2.112
1057,0.44
1058,0.88
1059,0.88
1061,0.352
1062,0.704
1067,0.88
1069,0.704
1070,1.104
1074,1.2951808215350953
1076,1.5401317433836832
1078,1.334
1080,1.0421582837700334
1082,0.704
1084,1.804
1085,1.28
1088,0.4652442779208312
1091,0.704
1093,0.88
1095,1.159832097824757
1096,0.88
1098,0.88
1099,0.704
1100,1.28
1103,1.089473457257695
1104,0.132
1105,2.112
1106,0.88
1108,0.44
1110,1.28
1113,1.28
1114,1.2245451400016618
1116,0.4201561889708161
1117,2.112
1119,0.5052072157628068
1120,2.112
1127,0.892
1130,2.112
1131,0.88
1132,1.28
1134,0.88
1135,0.132
1136,0.8521869513136812
1137,0.704
1141,0.88
1144,0.88
1145,2.112
1147,1.496
1148,0.132
1149,2.112
1151,0.704
1152,1.804
1155,0.88
1156,0.5909681667673863
1157,1.411736941188499
1159,1.28
1160,0.132
1161,0.704
1162,1.28
1164,0.44
1165,2.112
1166,0.5720000000000001
1167,0.88
1169,0.9159769761832374
1170,0.352
1172,2.112
1174,2.112
1176,2.112
1180,0.352
1181,0.88
1182,0.88
1183,1.28
1184,1.2944537284128177
1186,0.88
1187,0.132
1189,0.6772006737523253
1190,1.28
1191,1.496
1193,1.243802923449067
1194,1.28
1196,0.352
1198,0.132
1199,0.88
1201,0.904
1202,0.88
1203,1.28
1204,0.88
1207,0.44
1211,2.112
1213,1.605467416261442
1214,0.352
1215,0.9781949522422537
1220,0.88
1222,0.88
1223,0.904
1226,2.112
1228,0.904
1229,2.112
1230,0.44
1235,0.88
1236,0.352
1237,0.704
1238,0.892
1239,0.88
1240,0.992
1242,0.352
