m,t,grid_in_G,grid_out_Z,inventory_INV,flow_S,flow_X,net_grid
0,0,5851.1736208711445,0.0,7515.352760460323,0.0,29.408569666433827,5851.1736208711445
0,1,0.0,0.0,154.0520578455638,0.0,86.81746812017288,0.0
0,2,19894.53042342109,0.0,8065.033759754007,0.0,141.3276103073235,19894.53042342109
0,3,1178.9735409575371,0.0,3995.217304872482,0.0,63.04716671293596,1178.9735409575371
1,0,4634.130204552547,0.0,5845.744972931524,0.0,21.811628346399694,4634.130204552547
1,1,0.0,0.0,218.79002311991704,0.0,66.65415185798152,0.0
1,2,15649.487888545471,0.0,6311.233714816187,0.0,113.04355403641743,15649.487888545471
1,3,1084.5094099949372,0.0,2922.8920449631223,0.0,54.262823978059636,1084.5094099949372
2,0,4509.771977625906,0.0,5825.483278751912,0.0,21.206758091731867,4509.771977625906
2,1,0.0,0.0,348.64596178070553,0.0,64.91644677597637,0.0
2,2,15254.51202666857,0.0,6267.133071340259,0.0,110.54706288021191,15254.51202666857
2,3,1124.5186561566227,0.0,2977.0763217723093,0.0,53.58442964725963,1124.5186561566227
3,0,5275.62166688783,0.0,6901.883743501117,0.0,26.345183516530383,5275.62166688783
3,1,0.0,0.0,278.80310201226786,0.0,78.30368905782443,0.0
3,2,18057.830562337473,0.0,7395.57664148885,0.0,129.12709605394,18057.830562337473
3,3,1199.4583538498484,0.0,3699.100829000499,0.0,59.0915484062694,1199.4583538498484
