demand_i,station_j,m,t,flow_X,travel_time
4,1621,3,2,0.09962040732981725,123.490685
74,1213,2,1,0.088,132.2102
95,1646,0,2,0.132,135.58954
85,1052,0,3,0.08457771776655332,115.41738
62,240,2,3,0.154,118.71686
16,902,0,0,0.14537717188808377,130.6266
93,346,2,2,0.132,114.65784
42,648,1,2,0.09647273203632378,124.97622
52,1391,0,1,0.088,111.52421
46,1437,0,2,0.132,134.24464
77,1743,3,1,0.088,117.96815
58,810,3,3,0.01200000000000001,126.077385
67,1422,0,2,0.132,130.15176
66,1549,1,2,0.132,132.06277
92,1485,0,2,0.132,128.98128
33,519,3,1,0.088,129.72862
16,558,1,0,0.12996839971955007,130.5614
88,1413,0,0,0.1517298400100744,127.55492
52,944,2,1,0.088,117.03492
24,475,2,2,0.132,124.61547
93,1816,3,1,0.088,115.242035
24,998,1,2,0.132,128.33495
112,405,0,1,0.088,118.89717
89,85,0,2,0.06490061001232961,147.51056
2,1162,0,3,0.02192329931454068,106.36583
80,448,0,2,0.132,104.890434
105,64,3,2,0.132,132.64482
77,1259,0,2,0.055162976469760205,121.34909
99,922,1,1,0.088,inf
63,521,2,3,0.02192127927683976,125.10699
63,1688,0,0,0.04282279421554397,123.13949
33,78,2,1,0.088,127.87298
75,862,2,0,0.0012668253191070525,123.18673
34,255,1,3,0.07100112804057329,112.91914
88,1793,3,2,0.132,134.44336
82,334,1,0,0.12264824130988253,129.04504
71,1113,3,1,0.025425711917124838,135.9624
31,1882,1,1,0.088,125.019066
84,401,2,1,0.01020170769918026,110.9894
88,1433,2,2,0.132,131.5185
3,1199,2,2,0.132,149.85681
14,537,0,1,0.088,137.92334
70,1942,3,3,0.0013889323887566196,118.06089
83,1537,0,1,0.06718757135830725,127.47322
16,1711,1,1,0.088,138.2382
0,636,0,3,0.01200000000000001,119.20838
49,58,1,1,0.088,121.95406
52,274,2,2,0.132,115.54942
96,1165,0,3,0.006213435919308279,113.660645
16,66,1,2,0.03292298816814698,124.698555
16,263,2,0,0.154,126.58839
66,1375,0,2,0.132,131.98747
89,1057,3,1,0.05414723876631866,147.3403
39,313,0,1,0.088,131.69646
51,365,3,3,0.154,119.06323
105,744,0,1,0.088,143.17354
92,1004,2,1,0.088,127.173744
1,521,3,2,0.132,125.493904
54,694,0,2,0.132,139.09215
58,1754,2,2,0.132,128.63196
89,1103,1,2,0.132,143.08826
28,1426,2,1,0.088,128.86752
28,319,2,2,0.132,106.76278
92,1240,0,1,0.088,129.37274
36,536,1,2,0.10332102339383897,125.06305
70,659,3,2,0.132,117.703476
44,1889,3,2,0.132,138.03105
16,263,0,3,0.08429997595942676,126.58839
33,1459,3,3,0.01200000000000001,123.202126
52,1338,0,2,0.132,113.72922
57,16,3,1,0.088,127.61873
92,615,2,0,0.154,126.699394
52,1845,1,2,0.132,111.25714
58,1606,3,3,0.1,126.03927
71,678,2,1,0.088,139.04982
112,921,2,1,0.088,121.87595
0,1284,2,2,0.132,118.57849
54,1096,2,1,0.088,140.506
52,666,3,1,0.027829377793847823,125.88329
16,1545,2,2,0.132,124.85896
63,182,1,1,0.03859693107540205,127.56769
16,1106,3,2,0.132,136.03998
43,1540,0,3,0.03423561549291615,121.15424
52,1937,1,2,0.132,113.63846
52,831,2,1,0.088,119.4217
31,705,3,1,0.088,123.209015
107,223,0,0,0.08678737317536356,123.76401
62,888,0,2,0.132,119.533066
66,341,2,1,0.088,127.13238
24,1415,2,2,0.10918121048002805,97.89254
34,1165,1,2,0.132,125.01331
71,238,0,2,0.132,136.89343
52,894,2,1,0.088,119.27938
8,1235,2,2,0.132,128.80894
63,1699,0,2,0.132,126.42735
59,1795,3,3,0.020270780542253675,132.4959
75,350,3,2,0.132,125.700264
28,1444,1,2,0.132,125.943
52,877,2,3,0.154,110.40229
30,1756,2,2,0.09250317932855978,114.34499
44,164,1,3,0.1,137.21603
79,718,3,2,0.0875226965004734,150.76306
32,1812,1,2,0.132,128.01447
52,1402,1,2,0.132,118.49024
44,786,0,3,0.01200000000000001,138.05804
70,365,3,1,0.07047282086105625,120.07444
92,615,0,3,0.154,126.699394
61,1723,3,2,0.07097141807033608,133.64351
28,871,3,1,0.088,105.818565
52,1349,3,1,0.088,120.1722
62,553,1,0,0.07336893421409768,117.878265
33,1155,0,2,0.132,127.78056
77,197,3,1,0.088,118.90817
49,426,0,2,0.132,127.85709
11,159,0,2,0.132,140.83978
28,347,2,2,0.132,110.485725
113,456,3,3,0.02237553026738298,123.70521
52,1465,1,2,0.132,110.898735
59,1410,1,2,0.05821877805585718,150.58333
8,901,0,0,0.154,125.13527
18,553,3,3,0.029424783629574958,120.13478
52,1026,2,2,0.132,118.79785
24,1648,1,1,0.088,123.50054
106,44,0,1,0.088,137.32848
107,994,1,3,0.154,124.202156
32,674,0,2,0.132,128.83421
28,206,2,2,0.132,108.41876
62,2024,3,0,0.05612160117655443,117.626434
52,1675,1,3,0.154,109.5829
83,670,0,2,0.03603804051443682,121.127396
52,980,0,3,0.154,112.971054
87,1932,0,2,0.132,138.92386
89,755,2,3,0.154,140.21808
102,1144,1,1,0.088,138.52904
70,511,3,0,0.057107286020432385,118.59277
38,1339,1,2,0.06311365139238279,127.73105
58,1095,0,1,0.088,125.836174
52,1766,3,3,0.154,111.18428
15,141,0,1,0.0005243501888523017,132.3338
92,1120,2,3,0.154,118.313324
87,1602,3,1,0.001709139414916988,133.71931
39,859,1,2,0.03771409542495785,128.13245
112,224,0,2,0.132,122.56635
33,910,0,1,0.088,124.8873
28,1298,2,1,0.088,125.75482
16,1868,2,1,0.088,130.59154
92,1267,0,2,0.132,128.75853
97,798,0,3,0.154,127.4463
105,165,0,3,0.11539015183712983,133.09605
8,1706,3,1,0.088,127.018684
33,474,1,1,0.088,121.36383
52,1167,3,1,0.088,116.4386
4,748,2,2,0.132,123.776985
24,86,1,0,0.03598538931521561,115.668816
82,1921,3,2,0.132,132.8016
67,232,3,3,0.045936989925877636,124.943825
70,1266,2,2,0.132,119.123924
84,1567,3,2,0.12884190138582285,111.137276
52,541,1,1,0.088,114.38414
46,1156,3,1,0.088,126.96083
14,155,2,3,0.1,133.36865
52,637,2,1,0.088,121.20697
16,367,2,2,0.132,140.95721
19,1413,2,1,0.06347708362537174,125.56763
19,930,0,0,0.154,125.40093
25,1407,2,2,0.132,143.69318
93,1926,3,3,0.0216547679223221,113.26108
70,699,0,1,0.088,119.82632
52,586,2,2,0.132,115.30518
3,1406,2,1,0.04014577977200154,150.80981
52,1435,1,1,0.020528698010992497,123.98721
88,534,2,3,0.1,128.97813
28,850,3,1,0.088,125.784904
8,1979,3,2,0.132,130.6484
19,1721,0,3,0.154,124.97255
74,2004,0,3,0.10574691658819535,131.59996
39,417,0,3,0.06126626921908665,121.426025
24,1974,0,1,0.088,123.42275
59,23,2,1,0.088,128.55214
6,1294,0,1,0.00011036465665767436,125.478294
52,1074,2,1,0.088,113.91722
63,2022,0,1,0.088,128.19066
25,1755,0,1,0.07708561465759184,145.55092
32,558,0,2,0.132,129.41837
31,607,2,2,0.132,120.70254
11,356,0,0,0.154,134.09892
48,1687,0,2,0.132,131.55579
58,1070,2,1,0.088,125.97569
3,1736,2,1,0.088,144.87646
51,232,0,3,0.006777502253072082,120.64192
58,810,1,2,0.132,126.077385
95,126,1,3,0.01200000000000001,129.99115
13,1721,3,1,0.088,124.4123
28,593,2,2,0.132,128.86752
25,580,1,1,0.04621982265759175,142.36824
83,580,3,1,0.02063235763902138,127.33954
25,9,0,3,0.01200000000000001,140.24992
82,100,0,3,0.1,131.85594
24,475,0,1,0.088,124.61547
0,1815,3,1,0.088,119.75321
0,609,2,2,0.132,118.59826
16,221,3,1,0.088,138.18773
66,699,3,0,0.03230888165511342,123.39932
92,1100,3,1,0.088,127.444305
59,1631,3,2,0.132,124.05435
105,1149,2,3,0.154,130.47318
93,1159,2,2,0.132,115.12867
105,1619,3,3,0.09102099851597353,134.79614
16,79,0,2,0.132,138.29283
15,1729,2,2,0.132,131.7947
16,175,1,2,0.132,132.65738
70,1688,1,2,0.132,117.73856
105,64,1,1,0.088,132.64482
52,1572,3,3,0.154,107.89374
82,392,2,2,0.132,134.10596
102,178,0,2,0.132,145.24248
42,1201,0,3,0.01200000000000001,125.96033
61,496,3,1,0.088,133.64233
1,1942,1,1,0.07568696254332069,123.4873
82,22,0,3,0.154,129.50833
32,1304,1,3,0.154,127.648
12,1704,0,1,0.088,108.27947
52,1760,2,1,0.088,116.52404
33,401,1,3,0.02612447818779795,115.78392
107,931,0,2,0.132,127.919685
56,545,3,1,0.0197753145292362,124.99694
37,126,0,1,0.02346280652459795,129.05522
58,1754,0,1,0.088,128.63196
112,1211,2,2,0.132,117.7302
36,1001,1,2,0.132,126.90465
24,272,1,1,0.088,127.488594
42,1396,2,1,0.088,124.87838
82,100,1,1,0.088,131.85594
82,960,1,3,0.154,129.92143
105,1152,2,3,0.154,132.873
16,353,3,2,0.132,132.96996
44,792,2,3,0.1,137.53108
33,1459,1,2,0.132,123.202126
20,254,0,1,0.088,140.82375
62,1605,1,1,0.088,122.32852
18,1384,2,2,0.132,123.27808
26,1305,2,1,0.088,128.84041
102,163,0,2,0.132,142.00946
107,1645,1,3,0.12247029069913676,124.55036
89,841,1,1,0.088,142.834
71,817,1,2,0.06957761125180617,142.26805
92,368,0,1,0.088,133.63474
23,750,2,3,0.154,105.9593
1,521,1,1,0.088,125.493904
97,1413,2,1,0.02452291637462825,127.5932
97,1507,3,2,0.132,129.35425
82,571,1,2,0.132,132.27289
97,1023,0,3,0.1,129.34377
