station_j,m,t,inventory_MWh
0,0,0,0.1
0,0,1,0.01200000000000001
0,0,2,0.1
0,0,3,0.1
0,1,0,0.1
0,1,1,0.1
0,1,2,0.1
0,1,3,0.1
0,2,0,0.1
0,2,1,0.1
0,2,2,0.1
0,2,3,0.1
0,3,0,0.1
0,3,1,0.01200000000000001
0,3,2,0.1
0,3,3,0.1
4,0,0,0.088
4,0,2,0.1
4,1,0,0.088
4,1,2,0.1
4,1,3,0.088
4,2,0,0.1
4,2,1,0.01200000000000026
4,2,2,0.1
4,2,3,0.1
4,3,0,0.088
4,3,2,0.1
4,3,3,0.088
5,0,0,0.088
5,0,2,0.1
5,1,0,0.088
5,1,2,0.1
5,2,0,0.088
5,2,2,0.1
5,3,0,0.088
5,3,2,0.1
9,0,0,0.088
9,0,2,0.1
9,0,3,0.088
9,1,0,0.1
9,1,1,0.01200000000000001
9,1,2,0.1
9,1,3,0.1
9,2,0,0.1
9,2,1,0.01200000000000001
9,2,2,0.1
9,2,3,0.1
9,3,0,0.1
9,3,1,0.01200000000000001
9,3,2,0.1
9,3,3,0.1
10,0,0,0.088
10,0,2,0.088
10,0,3,0.088
10,1,0,0.1
10,1,1,0.01200000000000001
10,1,2,0.1
10,1,3,0.1
10,2,0,0.088
10,2,2,0.088
10,2,3,0.088
10,3,0,0.088
10,3,2,0.088
10,3,3,0.088
11,0,0,0.088
11,0,2,0.1
11,0,3,0.088
11,1,0,0.088
11,1,2,0.088
11,1,3,0.088
11,2,0,0.088
11,2,2,0.088
11,2,3,0.088
11,3,0,0.1
11,3,1,0.01200000000000001
11,3,2,0.1
11,3,3,0.1
14,0,0,0.088
14,0,2,0.088
14,0,3,0.088
14,1,0,0.1
14,1,1,0.1
14,1,2,0.1
14,1,3,0.1
14,3,0,0.1
14,3,1,0.01200000000000001
14,3,2,0.1
14,3,3,0.1
15,0,0,0.088
15,0,2,0.1
15,1,0,0.088
15,1,2,0.1
15,2,0,0.088
15,2,2,0.1
15,3,0,0.088
15,3,2,0.1
16,0,0,0.088
16,0,2,0.1
16,1,0,0.088
16,1,2,0.1
16,2,0,0.088
16,2,2,0.1
16,3,0,0.088
16,3,2,0.1
17,0,0,0.088
17,0,2,0.1
17,1,0,0.088
17,1,2,0.1
17,1,3,0.062363675125617135
17,2,0,0.088
17,2,2,0.1
17,2,3,0.013381899725617152
17,3,0,0.088
17,3,2,0.1
18,0,0,0.088
